AbsoluteAmplitude1,-2.4--2.0&-2.0--1.5&-1.5--1.0&-1.0--0.6&-0.6--0.1&-0.1-0.4&0.4-0.8&0.8-1.3&1.3-1.7&1.7-2.2,27&5&8&38&0&0&7&51&30&18
Fund_Freq1,0.4-0.7&0.7-1.1&1.1-1.4&1.4-1.8&1.8-2.1&2.1-2.4&2.4-2.8&2.8-3.1&3.1-3.5&3.5-3.8,102&32&0&0&0&1&7&18&9&15
AbsoluteAmplitude2,-2.4--2.0&-2.0--1.5&-1.5--1.0&-1.0--0.6&-0.6--0.1&-0.1-0.4&0.4-0.8&0.8-1.3&1.3-1.7&1.7-2.2,25&32&11&55&0&0&12&22&7&20
Fund_Freq2,0.4-0.7&0.7-1.1&1.1-1.4&1.4-1.8&1.8-2.1&2.1-2.4&2.4-2.8&2.8-3.1&3.1-3.4&3.4-3.8,110&11&17&0&5&4&0&10&24&3
