PGA_of_the_recording_scale1,PGA_of_the_recording_scale2
5.883000000000001,4.8018
6.623,5.402936
7.2335,9.45438
3.8110000000000004,1.7205532
1.54524,1.51206
3.30564,2.93384
1.52568,2.1060000000000003
2.445,1.7925
1.1246999999999998,1.15
3.0318,6.817830000000001
2.38632,2.35155
3.18828,4.9226
1.11492,1.720488
1.73106,4.27986
2.3765400000000003,2.0295846
3.5844,1.6651799999999999
4.12,1.736
2.2248,1.08
2.7604,1.291425
2.2660000000000005,1.6610000000000003
2.5132,1.841224
2.1630000000000003,0.876981
3.39735,3.0814
3.56004,5.022
1.4450699999999999,1.08267
2.90928,3.04
2.03841,4.684509
2.2202399999999995,2.2359
2.80401,4.424300000000001
1.10055,1.73558
1.00485,2.5389000000000004
1.89486,1.6537355999999999
0.9721600000000001,1.5120000000000002
2.74288,2.26572
1.10236,1.27
3.3418,8.467305
3.4459600000000004,3.8260875000000003
1.44956,2.5217
2.43908,4.240852
0.868,2.418
2.6126799999999997,2.5140122
2.2275,1.18305
4.9275,3.65
3.942,6.421956
3.5775,2.5539375
4.239000000000001,4.7414000000000005
4.8735,5.448212
5.3055,9.502740000000001
2.2545,1.3948174
1.5845699999999998,2.21
2.02194,6.202026
1.21173,1.6287375
2.3445899999999997,4.9377
1.09701,2.309076
1.35513,4.57002
1.9143899999999998,2.2300374
1.35,2.9690550000000004
2.78,2.6792249999999997
1.7,2.5669999999999997
2.11,3.184412
2.54,6.14172
1.53,1.2778866
7.741536,3.3924
7.235697,4.965268
5.014404,5.51304
4.684509,1.7790186
1.8022125,2.8237
2.2166249999999996,3.47116
2.7659625,6.939660000000001
3.0165375,2.6142385999999997
5.4964,5.493488
5.587000000000001,8.9466
3.7901,2.0964021999999995
2.9731240000000003,4.76346
2.052512,1.1358992
3.2643000000000004,1.127547
3.362002,3.46143
2.437678,3.841589
2.138632,2.6757679999999997
2.247376,3.980648
1.6945940000000002,3.4595000000000002
2.89984,3.1296
1.739904,1.83744
2.1930039999999997,2.1005599999999998
1.323052,1.971
2.53736,2.0075999999999996
1.9302059999999999,2.13
3.434498,8.335347
3.044832,3.2382
2.2383140000000004,3.7297000000000002
1.04213,1.73558
3.0357700000000003,8.1003
3.597614,3.3158234
4.6225,3.0704149999999997
4.601,3.434914
7.7185,3.4356299999999997
2.2145,1.3905
3.827,1.78
3.87,3.95874
8.557,3.835725
5.7620000000000005,4.0468
2.31384,2.8118239999999997
3.22818,6.401
1.16625,2.575
2.92029,2.71684
3.65736,2.81064
3.21885,3.45
3.32148,3.43095
1.54878,2.505272
3.31215,2.9650309999999998
1.7565629999999999,1.394574
4.755573,5.344983
2.8704809999999994,3.7184999999999997
5.255408,3.59904
2.8562,4.12
1.7708439999999999,1.18668
3.270349,1.98772
3.356035,3.1725000000000003
2.8990429999999994,1.4555099999999999
4.184333,2.93
4.184333,6.443949000000001
4.969787999999999,3.35385
3.71306,3.926
3.5988119999999997,3.8031840000000003
3.8130269999999995,6.45606
3.51478,4.97581
2.55105,4.1625000000000005
1.213166,1.04646
2.8798519999999996,5.2324
1.4059119999999998,1.18668
3.650836,2.79496
2.6077399999999997,3.105
1.6440099999999997,1.45
2.4149939999999996,4.684509
1.995488,1.6962
1.9387979999999998,2.5821
2.358304,3.139136
3.6961879999999994,7.88268
3.7755539999999996,2.7812826
5.633901,6.4935
2.455803,1.49634
6.372247,3.79929
3.611475,1.953
1.685355,1.4175000000000002
2.150834,0.96078
3.434914,4.706502
3.145996,1.88895
4.301668,4.0468
2.776823,2.610916
5.714156,8.608080000000001
4.686891999999999,2.4388424
2.5345000000000004,1.33986
4.995000000000001,5.562
6.882000000000001,3.56004
2.664,1.944
3.071,1.66
2.442,2.903076
4.588,2.3901
6.4935,5.3001
2.4235,1.9770520000000003
6.5120000000000005,8.51136
5.365,2.422138
2.02446,4.2642
2.22006,2.17239
1.9071,1.6925999999999999
2.89488,3.996
2.17116,1.5917400000000002
1.13448,1.16
2.40588,5.410278
2.77752,2.73705
1.3789799999999999,2.1290999999999998
2.1907200000000002,3.3806080000000005
1.2714,1.085786
4.12,1.736
4.1612,2.7270000000000003
5.562,2.7
6.4066,2.9972624999999997
3.4608,4.06224
3.4356299999999997,3.11612
2.00013,2.8215
2.42121,1.8140099999999997
1.1483999999999999,1.2
3.5409,3.565875
2.75616,4.3488
3.5983199999999997,5.674592
3.40692,8.608080000000001
2.9667,2.589182
1.18048,1.8360000000000003
1.91828,1.5845699999999998
1.77072,2.04
2.22208,5.6302080000000005
3.23764,3.5947875
3.28104,5.7078
2.4303999999999997,4.22576
2.79496,7.785960000000001
3.3938800000000002,3.2657102
1.8090000000000002,0.96078
1.7280000000000002,1.28
4.212000000000001,6.861816
4.1985,2.9972624999999997
3.24,3.6239999999999997
4.8195,5.387844
5.1435,9.21258
1.998,1.2361255999999998
1.44834,2.02
1.3766399999999999,4.222656
1.71363,2.3033625
2.04345,4.301220000000001
0.8317199999999999,2.80488
1.5774000000000001,1.8374840000000001
3.05,6.707865
3.63,3.4984124999999997
3.12,4.7112
1.04,1.569568
2.3,5.5614
1.74,1.4532828
8.665242,3.7971749999999997
7.433634,5.1038
3.4089150000000004,2.3392600000000003
3.562866,3.9171600000000004
2.3752440000000004,0.9020376
2.0720625,3.2464999999999997
1.3878,2.173248
2.3804625,5.972460000000001
3.35385,2.9065656
3.8505,3.8484599999999998
4.167599999999999,6.67368
5.7379999999999995,3.1738359999999997
2.610916,4.18314
5.870788000000001,3.2490058
1.3593,1.3995000000000002
2.17488,3.42744
1.531478,1.9161219999999999
1.567726,2.776823
1.0330679999999999,2.109
1.785214,1.92666
2.519236,2.6604599999999996
1.105564,1.05896
1.368362,2.0385
3.316692,3.66
3.706358,8.995137
3.461684,3.6815249999999997
2.6098559999999997,4.3488
3.108266,5.176556000000001
2.17488,5.8032
2.2655,2.08805
2.5799999999999996,1.71372
9.180499999999999,6.853776999999999
3.3325,1.48335
8.385,5.265000000000001
9.6535,4.49
3.8914999999999997,1.7443875
6.148999999999999,4.3186
2.24853,2.732458
3.6853500000000006,7.307500000000001
4.13319,4.33254
2.82699,2.89971
4.17051,3.8799599999999996
3.48009,2.67441
0.9516600000000001,1.02
1.72605,4.0687050000000005
3.2375100000000003,3.3442125000000003
1.94997,3.154228
3.9186000000000005,3.507924
3.2275059999999995,2.5623879999999994
4.641325,5.216575
5.840928999999999,7.5665000000000004
6.055144,4.14672
2.9847289999999997,4.3054
4.255738,2.85186
4.255738,2.58664
1.9564970000000002,1.8495000000000004
4.655606,2.33742
1.7422819999999999,1.22
5.4124989999999995,8.335347
3.384597,2.2840875
2.584861,2.7331000000000003
4.141489999999999,4.37668
1.870811,3.1675800000000005
5.683838,3.3241756
4.47851,6.340145000000001
5.0454099999999995,4.3521
3.9342859999999997,7.148200000000001
4.614566,3.89499
3.5034419999999997,2.68212
4.421819999999999,5.265000000000001
2.6417539999999997,1.67061
4.852664,9.413004
1.9501359999999999,1.65765
3.8095679999999996,5.0736
3.605484,4.799256000000001
2.335628,4.98108
3.7642159999999993,2.7729304
5.682054,6.549
5.361034,3.26652
2.263191,2.9046
3.836189,2.28723
3.3386080000000002,1.8054400000000002
5.023963,4.2255
4.927657,2.20119
6.372247,8.731221
2.182936,1.3107000000000002
3.675679,3.4579
3.0817919999999996,2.8976640000000002
5.1684220000000005,7.785960000000001
2.070579,1.0774337999999999
3.2560000000000002,1.72128
2.3680000000000003,2.6368
5.365,3.915
5.587000000000001,2.16534
2.849,1.54
6.419500000000001,7.631571
7.8995,4.115212499999999
3.4040000000000004,2.7769280000000003
3.8295,5.00526
3.3670000000000004,1.5201004
3.0806999999999998,3.01455
2.60148,2.3088800000000003
3.2958600000000002,4.5495
4.371659999999999,3.2049899999999996
2.69928,2.76
2.63082,5.916117
1.9853399999999997,1.9564124999999999
1.13448,1.7515999999999998
1.57458,2.429812
3.0024599999999997,7.42326
3.07092,2.6225907999999998
2.5132,1.05896
4.9234,2.39
2.1218,2.265279
7.6838,3.5947875
6.3242,7.42326
2.74659,2.4911600000000003
1.22496,0.91776
3.36864,3.52
3.8854199999999994,8.929158
2.92842,2.949075
1.5981899999999998,2.5217
1.68432,2.6561920000000003
3.6557399999999998,9.23676
3.9141299999999997,3.4160497999999997
2.5172,3.915
1.1718000000000002,0.96795
3.255,3.75
1.71864,4.354614
2.3956799999999996,2.65995
1.4148399999999999,2.4613
2.84704,4.950176
3.6716400000000005,10.228140000000002
3.45464,3.3241756
3.5370000000000004,1.87854
4.347,3.22
2.7944999999999998,4.552550999999999
2.592,1.8503999999999998
4.050000000000001,4.53
4.8735,5.448212
1.863,3.33684
5.886000000000001,3.6415592
2.45214,3.42
1.44834,4.442586
3.04725,6.4175
1.8857099999999998,3.969196
2.3804399999999997,8.02776
1.69929,1.9794714
1.21,2.661153
3.27,3.1514625
1.6,2.4160000000000004
1.79,2.701468
2.49,6.0208200000000005
2.3,1.9210059999999998
6.224019,2.7274125000000002
2.85909,1.963
5.256327000000001,3.6069880000000003
2.661153,2.92578
4.178669999999999,1.5869179999999998
4.2501375,6.6591000000000005
3.5369625,5.5387640000000005
2.717775,6.81876
2.9394375,2.547421
4.3488,4.346496
2.2348,3.57864
3.9109,2.1632198
3.591896,5.75484
2.158156,1.1943645999999999
7.785960000000001,2.6894084
1.17806,1.2129
1.9392680000000002,3.056134
3.144514,3.9342859999999997
3.08108,5.457339999999999
2.31081,2.4938999999999996
2.9360880000000003,6.6744
2.437678,2.57433
2.057074,1.9703600000000001
2.600794,3.8745000000000003
3.2260720000000003,2.55252
2.075198,2.29
1.739904,4.222656
2.138632,2.27445
2.85453,4.7565
1.386486,3.6995400000000003
2.682352,2.4722511999999996
6.708,4.455672
2.838,2.118732
4.73,2.1054
4.816,3.0240000000000005
3.8485,1.79
7.7829999999999995,7.961466000000001
5.4395,2.4382875
5.0955,3.5787
7.223999999999999,8.12448
3.53607,4.297102
3.09756,6.142
1.15692,2.5544000000000002
1.57677,1.61733
1.32486,1.0181399999999998
3.0789,7.257689999999999
2.93895,3.0358125
1.37151,2.218524
1.37151,1.2277734
2.99901,2.38098
5.498184999999999,6.179635
2.4277699999999998,1.6625999999999999
1.7422819999999999,2.5132
2.813357,1.88529
2.656266,1.6144800000000001
3.555969,3.3615000000000004
4.484234,3.14
1.685158,2.595174
5.640995,3.8068125
2.4706129999999997,2.6123
1.842249,3.1192200000000003
2.756233,1.6119746
1.8821079999999997,2.664466
1.24718,1.0758
2.403656,2.02884
2.800486,2.1439600000000003
1.9728119999999998,2.349
2.1542199999999996,1.9
4.02499,7.8075149999999995
1.791404,1.522725
3.3673859999999998,4.4847
3.594146,4.7841640000000005
2.199572,4.69092
3.038584,2.2383896
3.8522399999999997,2.3472
4.462178,2.6604599999999996
1.958222,1.05896
4.221413,3.5505
5.8586149999999995,2.61705
2.664466,1.66
2.423701,3.320943
5.457339999999999,5.1339999999999995
3.499118,3.2900560000000003
2.439752,3.6753600000000004
3.017588,1.5702135999999998
3.3485000000000005,1.77018
6.4750000000000005,3.3495
5.5685,2.6126799999999997
7.3260000000000005,5.346
2.59,1.0037999999999998
3.3670000000000004,1.82
5.735,6.817830000000001
5.735,2.987625
4.3845,3.5787
4.6065000000000005,3.7579080000000005
5.1985,6.794580000000001
3.1265,1.4115217999999998
3.7653,3.68445
3.88266,3.4459600000000004
2.58192,3.5640000000000005
1.03668,0.76002
1.467,1.5
2.95356,6.641886
2.86554,2.8237875000000003
3.7163999999999997,5.7379999999999995
3.3643199999999998,5.191648
1.0953600000000001,2.7081600000000003
2.12226,1.8124273999999998
5.8915999999999995,2.48248
5.0882000000000005,3.3345000000000007
2.06,2.1993
2.3689999999999998,1.1083124999999998
3.09,2.265
2.6986000000000003,1.0941382
2.04798,1.85752
3.81843,5.386500000000001
3.6365999999999996,2.7245999999999997
2.871,3.0
1.7991599999999999,4.134684
1.914,1.9275
1.9331399999999999,3.0502000000000002
3.5887499999999997,5.6595
1.73217,4.376580000000001
2.22981,1.9460625999999999
3.3938800000000002,2.80347
1.7880800000000001,2.06
1.40616,3.562866
2.7776,3.084
1.55372,2.7029
1.24992,2.173248
2.821,7.8585
2.1005599999999998,2.0212323999999997
3.1185000000000005,1.65627
1.8495000000000004,1.37
2.5785,4.200663
3.132,2.2359
2.9970000000000003,3.3522000000000003
2.9430000000000005,3.2900560000000003
5.238,9.38184
3.807,2.3553203999999996
1.09701,1.53
1.02531,3.144999
1.83552,2.4672
1.5057,3.1710000000000003
2.61705,5.50858
1.1758799999999998,1.3697608
2.19,2.1106125
3.81,5.7531
1.46,2.2034320000000003
1.02,2.4663600000000003
2.39,1.9961758
7.543599,3.3056625
6.202026,4.2581999999999995
4.310628,2.958032
5.344299,5.87574
6.202026,2.3553203999999996
1.0504875,1.6459000000000001
1.9564124999999999,3.063676
2.332275,5.85156
1.0119375,0.876981
4.1223,4.120116
3.3824000000000005,5.416320000000001
4.1374,2.2885028000000003
2.94294,1.628679
4.40076,1.5201004
2.5736079999999997,2.64972
1.531478,2.4134889999999998
3.6248,4.5352
2.510174,4.446127
1.504292,3.071
1.966454,2.12226
2.85453,2.7342
1.54054,1.2188999999999999
1.549602,1.71
1.4227340000000002,3.452901
1.839586,1.9564124999999999
2.908902,4.8471
2.1658180000000002,5.779020000000001
2.292686,2.1131065999999996
2.322,1.542348
4.6225,3.4509649999999996
7.568,7.2512
2.2359999999999998,0.9952799999999999
8.1915,5.1435
4.515,2.1
3.7624999999999997,3.848775
6.514499999999999,2.9201625
5.9125,4.1525
3.61071,4.387805999999999
3.06957,6.0865
1.44615,1.5159
1.29687,2.8634
1.81002,1.6839199999999999
2.68704,2.0649599999999997
1.9219800000000002,2.06
3.62937,8.555277
2.41647,2.4961124999999997
1.52079,2.459996
2.4258,2.171572
5.7124,4.5352
4.041523,4.542433
1.6423149999999997,2.1275
2.5134559999999997,1.72128
4.784135,3.20595
2.399208,1.45824
2.556299,2.4165
2.4277699999999998,1.2188999999999999
4.869821,3.41
5.640995,8.687235000000001
2.384927,1.6094625
3.6987789999999996,3.9109
2.599142,2.746744
1.9707779999999997,3.33684
5.4410609999999995,3.1821881999999997
4.455834,6.3080430000000005
3.095274,5.0505
3.91161,3.3741000000000003
4.2517499999999995,3.5887499999999997
4.1497079999999995,3.17688
2.9365419999999998,3.4965
3.6168219999999995,2.2872299999999997
3.1973159999999994,2.82
3.650836,7.081746000000001
4.1156939999999995,3.4984124999999997
1.19049,1.5855000000000001
1.7233759999999998,2.293984
3.5034419999999997,7.47162
2.460346,1.8124273999999998
2.215038,2.553
4.141158,2.52324
2.295293,1.24124
4.879504,4.104
2.182936,0.97512
2.88918,1.8
5.633901,7.719543
5.77836,3.4695
5.393135999999999,5.0736
3.017588,2.837296
3.3225569999999998,1.7289053999999997
3.2190000000000003,1.70172
3.515,1.8182999999999998
3.4410000000000003,1.6144800000000001
2.8305000000000002,2.0655
3.7,1.434
6.068,3.28
5.5315,6.575907000000001
3.9775,2.0720625
3.108,2.5368
4.1625000000000005,3.3957
3.589,4.69092
2.5715,1.1609557999999998
1.13448,2.3895999999999997
2.0440199999999997,2.00013
2.40588,2.13528
1.19316,1.647
3.6675,2.6887499999999998
3.72618,3.81
2.6210400000000003,5.894124000000001
2.03424,2.0046
2.17116,3.3522000000000003
3.7163999999999997,5.73496
1.34964,3.33684
2.987,1.3876499999999998
2.4926,1.1661375
7.519,3.0485529999999996
3.7323,3.3851999999999998
1.8278699999999999,2.5785
2.6604599999999996,1.9932599999999998
2.25852,2.36
3.7514399999999997,8.621256
2.1436800000000003,3.3824000000000005
1.6077599999999999,2.535456
3.04326,7.689240000000001
0.98571,0.8602766
3.35916,5.224500000000001
1.63184,1.3479599999999998
2.04848,2.36
2.36096,5.982096
1.24992,1.3878
3.09876,5.3907
1.31936,2.293984
2.19604,6.11754
3.27236,3.1487794
2.1465,1.14003
3.942,2.92
1.4580000000000002,2.3752440000000004
1.4715000000000003,1.0504875
3.9555000000000007,4.424300000000001
1.0181399999999998,1.42
2.3661,7.257689999999999
1.12569,1.5130875000000001
2.0936399999999997,4.4092
1.96458,4.135208
1.7996699999999999,6.06918
1.74948,2.0379367999999998
1.82,4.002726
2.27,2.1877125
2.7,4.077
2.04,3.078768
2.11,5.10198
2.53,2.1131065999999996
4.244649,1.8600375
6.070068,4.167599999999999
4.200663,2.882572
6.2680050000000005,6.8913
0.96375,1.51
2.6695875,4.180484
2.2166249999999996,1.9210059999999998
2.6576,2.6561920000000003
4.0619,6.5044200000000005
1.6308,0.9020376
2.8976640000000002,4.6425600000000005
4.633244,2.5641253999999996
7.036380000000001,2.4304902
1.776152,1.82868
2.473926,3.898713
0.9696340000000001,1.213166
1.748966,1.88754
2.211128,5.0264
2.102384,2.2202399999999995
1.168998,1.11972
2.4648640000000004,3.6720000000000006
1.6764700000000001,1.32645
2.9995220000000002,3.31
1.1961840000000001,2.903076
2.917964,3.103275
2.3833059999999997,3.9713
2.283624,3.8031840000000003
1.63116,4.3524
3.189824,2.9399744
8.4065,5.583871
3.1174999999999997,2.327395
7.912,3.52176
2.6014999999999997,1.6335
4.1925,4.288635
2.4939999999999998,1.11795
4.493499999999999,3.1559
5.848,6.576960000000001
2.8736400000000004,5.698
3.71334,3.89244
0.9609900000000001,2.1218
3.33081,3.4164899999999996
1.72605,1.6058000000000001
0.9703200000000001,0.74568
3.29349,3.53
1.07295,2.5291949999999996
2.20188,2.27445
1.16625,1.8865
2.86431,2.5641253999999996
2.913324,2.3129519999999997
1.528067,1.717457
3.4845639999999998,4.514
4.4128289999999994,3.02202
3.9986799999999993,2.4303999999999997
5.498184999999999,5.197500000000001
4.612763,2.3159099999999997
3.0418529999999997,2.13
4.655606,3.141825
1.542348,1.6308
5.326813,5.629316
3.655936,2.1381632
3.4467519999999996,5.6240000000000006
2.9365419999999998,2.5330199999999996
3.265344,2.75616
2.38098,1.8228
1.519292,1.8090000000000002
3.1973159999999994,2.02194
1.712038,1.51
1.224504,2.3752440000000004
1.780066,1.5130875000000001
4.36513,5.8135
2.018164,2.686376
2.6757679999999997,5.70648
2.800486,2.0629934
1.701406,1.9610000000000003
3.900393,2.3765400000000003
5.714156,3.40692
6.131481999999999,3.31576
4.847402,4.077
6.324094,2.82498
5.682054,3.54
2.680517,3.672831
2.520007,1.5130875000000001
1.8137629999999998,1.7063
5.954921,5.599132
4.414025,6.649500000000001
5.377085,2.797987
5.6055,2.9633399999999996
3.4410000000000003,3.8316000000000003
7.252,3.7514399999999997
2.6455,1.24124
5.346500000000001,2.07213
4.218,2.28
6.66,7.91748
3.7554999999999996,1.9564124999999999
5.7905,4.7263
1.9055000000000002,1.5544760000000002
4.1255,5.39214
1.9425000000000001,0.876981
2.2005,4.635
0.98778,0.9665699999999999
2.81664,2.49984
1.88754,2.6055
1.38876,1.0181399999999998
2.27874,2.33
2.2102799999999996,4.970418
2.79708,2.756325
1.3692,2.114
2.99268,4.618152
2.50368,6.190080000000001
1.74084,1.4866916
3.0076,1.26728
6.0564,3.9690000000000003
2.3484,2.507202
6.550800000000001,4.8018
2.6780000000000004,3.1434
1.37808,1.24992
1.9427099999999997,1.4555099999999999
1.6268999999999998,1.7
2.41164,5.542236
1.0431300000000001,1.0504875
1.75131,2.7633
3.18681,5.025636
1.36851,3.4577400000000003
2.24895,1.962767
1.72732,2.6865
2.84704,2.3517599999999996
3.07272,3.54
1.8661999999999999,4.728495
1.1544400000000001,1.2817875
2.69948,4.6960999999999995
2.3088800000000003,4.0144720000000005
2.52588,7.036380000000001
1.32804,1.2778866
4.428,2.3517599999999996
4.482,3.32
3.6855,6.0040890000000005
1.4040000000000001,1.0023
4.009500000000001,4.4847
1.4445000000000001,1.6148440000000002
2.9565,5.29542
4.752000000000001,2.9399744
2.6600699999999997,3.71
2.35893,7.235697
1.6060800000000002,3.3824000000000005
0.73134,1.539384
1.11135,3.7479000000000005
2.7963,3.257358
1.5,3.29895
3.08,2.96835
2.76,4.167599999999999
2.84,4.286128
3.95,9.551100000000002
1.14,0.9521507999999999
8.643249,3.7875375
5.696187,3.9109
3.1230059999999997,3.43356
4.83846,1.8374840000000001
1.5323625,2.4009
1.5612750000000002,2.444904
1.0794000000000001,2.7081600000000003
1.7636625000000001,1.5284526
5.4209,5.4180280000000005
3.8052,6.0933600000000006
1.7969,0.9939117999999999
2.173248,3.48192
7.93104,2.7395216
3.099204,3.1908600000000003
3.606676,5.683838
1.848648,2.3129519999999997
3.48887,6.179635
1.105564,1.19316
1.6945940000000002,3.8522000000000003
1.458982,1.54077
1.31399,1.2586
2.274562,3.3885
1.63116,1.2906
2.247376,2.48
2.8364059999999998,6.883809
1.0058820000000002,1.0697625000000002
0.915262,1.5251000000000001
2.736724,4.557784000000001
3.516056,3.2406536
8.1055,5.3839369999999995
3.0959999999999996,2.311344
8.4925,3.78015
4.386,2.7540000000000004
2.9669999999999996,1.38
7.31,7.47762
6.106,2.73705
4.858999999999999,3.4126
6.665,7.495800000000001
1.866,2.2676
1.05429,2.0905
2.15523,2.25918
2.55642,5.644400000000001
2.07126,2.12454
2.12724,1.97904
1.5861,1.2188999999999999
2.97627,3.19
3.69468,8.709228
2.59374,2.6792249999999997
2.86431,4.633244
2.37915,2.1298109999999997
2.127869,1.6893619999999998
4.455672,5.007912
3.984399,2.72862
3.441721,2.3063700000000003
1.6565959999999997,0.8317199999999999
3.6416549999999996,2.55
3.770184,5.806152
2.4277699999999998,2.5669999999999997
3.42744,3.62208
5.312532,8.99496
3.5131259999999997,2.0546412
1.235842,1.749559
3.265344,5.328
3.0725979999999997,2.6503799999999997
2.131544,3.8728
4.2857639999999995,3.6174599999999995
2.766472,2.11792
2.4830219999999996,2.9565
4.1837219999999995,2.64573
4.455834,3.93
2.789148,5.410278
4.274426,3.6333375
2.9705559999999998,3.9562000000000004
