HE(i)/IE(i),-0.0-0.1&0.1-0.2&0.2-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.6&0.6-0.6&0.6-0.7&0.7-0.8,3408&2043&2070&2481&2928&3479&3991&4317&3790&1065
E,13397000.0-15757300.0&15757300.0-18117600.0&18117600.0-20477900.0&20477900.0-22838200.0&22838200.0-25198500.0&25198500.0-27558800.0&27558800.0-29919100.0&29919100.0-32279400.0&32279400.0-34639700.0&34639700.0-37000000.0,25&26&758&4388&4206&3963&4244&4102&4049&3811
FbXmax,494.5-4979.1&4979.1-9463.8&9463.8-13948.4&13948.4-18433.1&18433.1-22917.7&22917.7-27402.4&27402.4-31887.0&31887.0-36371.7&36371.7-40856.3&40856.3-45341.0,6652&11269&6807&3068&1210&377&126&37&19&7
FbYmax,630.2-5254.5&5254.5-9878.8&9878.8-14503.0&14503.0-19127.3&19127.3-23751.6&23751.6-28375.8&28375.8-33000.1&33000.1-37624.3&37624.3-42248.6&42248.6-46872.9,6460&11342&6806&3087&1225&448&128&33&27&16
nr_ph_max,0.0-265.6&265.6-531.2&531.2-796.8&796.8-1062.4&1062.4-1328.0&1328.0-1593.6&1593.6-1859.2&1859.2-2124.8&2124.8-2390.4&2390.4-2656.0,13611&8613&4120&1928&823&274&126&61&9&7
h_gr,0.1-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0,0&0&124&1903&4514&6672&8188&7457&714
no_span,1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0&5.0-6.0,0&7671&7454&7291&7156
no_bay,1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0&5.0-6.0,0&7341&7626&7490&7115
no_span_2,0.0-1.0&1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0,0&15555&7943&4362&1712
no_bay_2,0.0-1.0&1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0,0&6009&6063&6113&11387
b_gr,0.1-0.2&0.2-0.3&0.3-0.4&0.4-0.5&0.5-0.6,0&9419&14853&4764&536
DI_cladire,0.0-0.2&0.2-0.5&0.5-0.7&0.7-1.0&1.0-1.2&1.2-1.5&1.5-1.7&1.7-2.0&2.0-2.2&2.2-2.5,9992&8101&4812&2598&1562&950&617&453&269&218
Mgr,92.0-221.8&221.8-351.6&351.6-481.4&481.4-611.2&611.2-741.0&741.0-870.8&870.8-1000.6&1000.6-1130.4&1130.4-1260.2&1260.2-1390.0,2893&6083&6619&5223&3914&2141&1597&557&439&106
MstX,535.5-800.1&800.1-1064.7&1064.7-1329.3&1329.3-1593.9&1593.9-1858.5&1858.5-2123.1&2123.1-2387.7&2387.7-2652.3&2652.3-2916.9&2916.9-3181.5,3023&4206&4650&4580&3946&3745&2911&1718&691&102
MstY,630.0-847.0&847.0-1064.0&1064.0-1281.0&1281.0-1498.0&1498.0-1715.0&1715.0-1932.0&1932.0-2149.0&2149.0-2366.0&2366.0-2583.0&2583.0-2800.0,3810&3036&4110&3851&3391&2806&3208&3029&1750&581
