no_story,3.0-4.0&4.0-5.0&5.0-6.0&6.0-7.0&7.0-8.0&8.0-9.0&9.0-10.0&10.0-11.0&11.0-12.0&12.0-13.0&13.0-14.0,0&2605&3285&3436&3213&2908&2749&2895&2813&2886&2782
no_story_2,0.0-1.0&1.0-2.0&2.0-3.0&3.0-4.0&4.0-5.0&5.0-6.0&6.0-7.0&7.0-8.0&8.0-9.0&9.0-10.0&10.0-11.0&11.0-12.0,0&0&8712&5864&4434&2967&2684&1611&1376&884&717&323
Hieght,3.0-3.1&3.1-3.2&3.2-3.3&3.3-3.4&3.4-3.5&3.5-3.6&3.6-3.7&3.7-3.8&3.8-3.9&3.9-4.0,2543&2572&2543&2757&2918&2920&2968&2865&3153&4333
b_Hieght,12.0-16.0&16.0-20.0&20.0-24.0&24.0-28.0&28.0-32.0&32.0-36.0&36.0-40.0&40.0-44.0&44.0-48.0&48.0-52.0,3160&3682&3613&3524&3223&3079&3196&3020&1939&1136
b_st,0.3-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0&1.0-1.1&1.1-1.2&1.2-1.3&1.3-1.4,4196&3246&3508&3568&3119&2387&2447&3255&2163&1683
h_st,0.3-0.5&0.5-0.6&0.6-0.7&0.7-0.8&0.8-0.9&0.9-1.0&1.0-1.1&1.1-1.2&1.2-1.3&1.3-1.4,4230&3341&3319&3792&2856&2415&2669&3157&2059&1734
py,6.0-6.8&6.8-7.6&7.6-8.4&8.4-9.2&9.2-10.0&10.0-10.8&10.8-11.6&11.6-12.4&12.4-13.2&13.2-14.0,2892&2701&2793&2971&2778&3084&3877&2128&2775&3573
T1,0.3-0.5&0.5-0.8&0.8-1.0&1.0-1.2&1.2-1.4&1.4-1.7&1.7-1.9&1.9-2.1&2.1-2.3&2.3-2.5,2641&10472&7586&4970&2409&1081&310&92&10&1
T2,0.3-0.5&0.5-0.7&0.7-0.8&0.8-1.0&1.0-1.2&1.2-1.4&1.4-1.6&1.6-1.7&1.7-1.9&1.9-2.1,2679&9504&7433&4968&2601&1481&596&245&58&7
T3,0.2-0.4&0.4-0.5&0.5-0.6&0.6-0.8&0.8-0.9&0.9-1.1&1.1-1.2&1.2-1.3&1.3-1.5&1.5-1.6,1765&8159&8291&5700&3158&1569&599&237&87&7
nr_ph_max/nph,0.0-0.1&0.1-0.1&0.1-0.2&0.2-0.3&0.3-0.3&0.3-0.4&0.4-0.5&0.5-0.5&0.5-0.6&0.6-0.6,3812&3688&4735&5085&4841&3772&2306&1078&229&26
