Recording_index,AccName1,Fund_Freq1,AbsoluteAmplitude1,AccName2,Fund_Freq2,AbsoluteAmplitude2
183,PRSN100W86,0.681508405270332,-1.509198,TITN55W86,1.18128123580191,-0.835219
138,INCNS86,0.72992700729927,-0.957,PRSN100W90,3.2325338894682,-2.417965
161,METN127W86,0.572655690765927,0.717,PRSN100W86,2.1832498210451,-1.509198
89,ERENN126E86,0.625711035267349,1.605056,PNDN139W86,0.739476678043231,-0.963746
33,BLVN155E90,2.82186948853616,-2.15,PRSN100W90,3.23339212228101,-2.417965
180,PNDN139W90,2.93944738389183,-1.51,PRSN100W90,3.23339212228101,-2.417965
159,METN127W86,0.572655690765927,0.717,PNDN139W86,2.32641374373658,-0.963746
126,INCNS77,0.588928150765607,-2.06,PNDN139W90,3.12131919905771,-1.51
170,OTPEW86,0.652173913043478,2.19932,PNDN139W86,0.706521739130435,-0.963746
27,BLVN155E90,2.78497409326425,-2.15,MAGNS86,0.647668393782384,-1.35
164,MLTN92W86,0.727650727650728,-1,OTPEW86,0.675675675675676,2.19932
184,PRSN100W90,3.2377428307123,-2.417965,TITN55W86,1.20259019426457,-0.835219
143,ISPHN15E86,0.705270972531552,0.868,OTPEW86,0.631031922791388,2.19932
98,INCEW77,0.413223140495868,1.85,MAGNS86,1.2396694214876,-1.35
106,INCEW77,0.413223140495868,1.85,TITN55W86,1.87828700225394,-0.835219
9,BLVN65E86,0.66815144766147,-0.906196,ISPHN15E86,0.705270972531552,0.868
53,BRNN107W90,2.53239104829211,1.428123,INCNS77,0.588928150765607,-2.06
179,PNDN139W90,2.90776919582008,-1.51,PRSN100W86,0.681508405270332,-1.509198
157,METN127W86,0.572655690765927,0.717,MLTN92W86,0.715819613457409,-1
