no_story,T1,no_span,no_bay,DI_cladire
8,0.81314,5,4,0.39137
4,0.69966,3,3,0.49512
6,0.55302,3,4,0.11018
8,0.75983,3,3,1.3148
9,0.74579,5,4,0.27803
7,0.93245,5,3,0.48132
8,0.6739,5,2,1.2534
13,1.9249,3,3,0.58197
5,0.57458,4,2,1.632
6,0.63975,3,4,2.3894
5,0.53066,4,4,0.81603
6,0.75266,3,5,0.74848
12,1.1335,4,3,1.9187
13,0.93951,3,2,0.61424
11,1.3442,5,3,1.3598
7,0.94894,3,2,0.23514
7,0.56007,3,2,0.62064
9,0.73352,4,3,1.0084
7,0.73319,3,5,0.81355
9,0.74601,5,2,0.83697
12,1.1478,3,5,1.2019
9,0.74417,5,4,0.38681
8,0.79673,2,4,0.095382
7,0.95261,2,4,0.42752
4,0.6124,3,5,0.0
5,0.74332,5,3,0.11792
12,1.0849,4,2,1.2519
4,0.4934,4,2,0.1005
11,1.4493,2,4,0.42816
5,0.58313,5,4,0.15008
10,0.88593,2,3,0.34713
7,0.89685,3,3,0.55051
13,1.4145,5,3,0.26164
4,0.78055,3,2,0.03616
11,0.87354,3,5,0.52922
12,0.93502,5,4,1.5788
6,0.57069,4,2,2.2407
13,1.3663,5,3,1.0006
10,1.3335,5,4,1.6141
9,0.90229,3,5,1.3669
4,0.65186,3,4,0.041452
4,0.77787,2,5,0.23577
7,0.80477,4,4,0.35986
10,0.79099,2,5,0.37515
11,1.1732,4,5,1.8823
13,1.806,3,2,0.48169
12,1.2361,4,4,1.5643
5,0.71099,5,3,0.36977
6,0.51211,5,2,0.44118
10,1.0919,2,3,1.527
5,0.68634,3,5,0.16305
12,1.0356,3,5,0.11005
13,1.3123,5,4,0.74642
9,0.89925,5,5,0.073458
10,0.76478,4,3,0.0
9,0.74999,5,4,1.263
9,0.94957,4,4,0.23337
11,1.4879,2,2,0.43126
6,0.57179,4,2,0.18682
9,0.71005,3,5,0.24617
5,0.795,5,5,0.13019
8,0.73382,2,3,0.50567
4,0.66639,2,5,0.14647
13,1.4064,3,3,1.3757
9,0.74809,5,3,0.3188
12,1.4718,2,5,1.3113
10,0.89929,4,3,0.09946
10,0.88928,4,2,0.24017
4,0.6281,5,5,0.21335
5,0.70898,5,4,0.033966
6,0.58581,3,4,0.53549
12,1.6179,4,3,1.2265
4,0.68769,4,2,0.20912
4,0.52692,3,4,1.0124
4,0.69065,2,4,0.75412
9,0.76916,5,2,0.92973
4,0.60006,2,3,0.34635
7,0.60093,2,4,0.32605
8,0.72098,2,3,0.81066
9,0.67298,5,2,0.73527
7,0.55507,2,5,0.20952
8,0.70582,5,5,0.86372
5,0.73236,4,2,1.6941
12,1.9782,2,2,1.7093
8,0.86124,4,4,0.39942
7,0.59764,4,5,0.27311
9,0.80513,2,4,0.75186
6,0.60815,4,3,0.095346
13,1.4996,2,5,0.5352
9,1.0633,3,3,1.333
6,0.63235,2,5,0.20096
4,0.7897,2,2,0.0058156
10,1.1609,5,5,0.79099
7,0.84948,5,2,0.52853
11,1.2604,2,5,0.67175
7,0.5939,5,2,0.061152
11,0.78003,3,3,0.93649
4,0.63201,2,3,0.14283
11,1.0442,4,2,1.2785
4,0.567,4,4,0.15426
6,0.62784,3,3,1.2573
5,0.71305,5,5,0.023241
12,1.2928,2,2,1.2734
13,1.6408,3,3,0.62601
6,0.86223,2,5,0.25163
13,1.0293,5,4,1.6449
6,0.76753,3,4,0.85367
11,1.1222,5,4,1.8926
6,0.68772,4,2,0.37392
6,0.64301,3,2,0.95256
4,0.69101,2,4,0.17752
11,0.84581,3,3,0.33915
5,0.72142,2,5,0.25544
9,0.8292,4,5,0.0
5,0.69826,5,2,1.3023
13,1.1175,4,4,0.7812
8,0.9583,5,5,0.37917
5,0.58256,3,3,0.23338
12,1.088,5,4,0.46276
5,0.4947,2,3,0.49693
8,0.98731,4,5,0.53383
5,0.48806,5,4,1.1292
10,1.3684,5,2,0.6993
10,0.99179,3,4,0.67015
5,0.43455,4,3,0.25788
5,0.69825,4,5,0.15952
6,0.44481,4,5,0.073485
5,0.66264,2,3,0.27452
13,1.6153,5,2,0.3924
6,0.64618,5,5,1.0794
13,1.3193,4,5,0.98381
8,0.65296,2,3,0.25515
8,0.7534,3,3,0.17481
7,0.68822,5,5,0.25659
10,1.1311,5,5,0.74742
13,1.3879,5,5,0.64055
4,0.78831,5,5,0.27603
10,1.0471,4,5,1.0009
11,1.5595,5,3,0.63251
5,0.56428,5,2,0.2123
10,1.1365,5,2,0.32209
8,0.65432,3,3,0.24719
13,1.6752,5,3,2.3121
11,0.96779,5,3,1.5066
10,0.84732,5,2,1.5604
5,0.75992,3,5,0.16445
11,0.85627,2,5,1.9549
4,0.65487,5,4,0.12369
9,0.76338,4,3,0.20201
4,0.76412,5,3,0.35299
10,1.0502,4,2,0.76896
4,0.5481,5,3,0.49491
4,0.67875,2,4,0.6185
8,0.63257,4,2,1.9787
10,0.8792,3,3,0.60872
6,0.86695,4,3,0.53096
9,1.2668,3,3,0.23334
7,0.67935,2,2,1.5451
10,1.1952,2,2,0.88339
5,0.65434,5,2,0.20716
10,1.0795,5,3,0.39079
6,0.95137,5,4,0.12092
10,0.93703,5,2,0.34673
7,0.75325,4,3,0.5686
8,0.57258,2,5,0.081605
4,0.6002,4,2,0.52817
12,1.0574,2,2,1.7162
8,0.89973,5,4,0.90031
9,0.65296,5,4,1.9531
11,0.99178,2,3,2.1645
4,0.57569,5,2,0.032284
12,1.095,3,4,0.75787
12,1.6871,2,3,0.72067
11,0.87049,2,2,0.81626
13,1.047,3,4,1.7259
7,0.63759,3,3,0.048672
13,1.2215,5,5,1.4254
12,1.0161,5,2,1.2939
6,0.60673,5,3,0.054433
12,1.1549,2,2,0.35614
9,1.0544,5,3,0.041486
12,1.0384,3,3,0.66063
11,1.3176,4,5,1.1078
4,0.78856,2,3,0.34383
13,1.1244,4,4,0.64724
9,0.98879,4,5,0.22834
6,0.77395,2,5,0.34638
6,0.70386,3,5,0.32562
6,0.56718,5,5,1.2141
8,1.0822,5,2,0.34353
12,1.0774,5,4,0.7872
13,1.1272,4,2,0.43116
9,0.8186,4,3,0.27319
9,0.8267,4,3,0.26346
9,0.73442,4,2,0.24802
9,0.84497,2,3,0.57093
6,0.4991,4,4,0.24585
9,0.69286,3,5,1.3618
13,1.553,4,4,0.45927
10,0.81102,2,2,0.36634
5,0.5362,4,4,0.015144
11,1.2505,3,2,0.58532
6,0.5556,3,3,0.065613
5,0.48625,3,5,0.54109
11,1.0259,5,3,0.40507
6,0.73641,3,3,0.43795
11,1.4189,4,4,0.53777
7,0.70519,3,2,0.37745
6,0.64569,2,5,0.14601
12,0.86366,4,3,0.75278
9,0.94981,5,3,0.046896
5,0.41521,4,4,1.0797
11,1.1381,2,5,0.51854
9,0.7983,2,2,0.43064
9,0.8277,4,2,0.08314
10,1.0833,2,4,0.42772
12,1.6495,4,5,0.54959
4,0.49973,4,2,0.52467
11,1.2129,3,3,0.6029
9,0.87539,5,3,0.3032
5,0.69525,5,2,0.049583
13,1.1593,2,3,1.0647
10,1.1459,2,3,0.64098
11,1.3885,4,2,0.39703
8,0.89074,2,3,0.30394
13,1.4612,2,3,0.5335
13,1.579,3,5,0.63416
9,1.0398,4,5,0.58566
10,1.2756,2,4,0.88022
8,0.77289,3,2,0.69704
9,0.86211,2,2,0.37993
7,0.91181,4,3,0.18989
8,0.86376,5,2,0.59129
8,0.78848,4,3,0.23488
8,0.92884,4,3,0.33143
12,1.181,3,2,1.6662
10,1.2634,3,4,0.65215
4,0.78839,5,2,0.18045
6,0.50077,3,4,0.60112
7,0.62462,3,2,0.73932
13,1.849,3,3,0.88393
13,1.2676,3,3,0.9079
7,0.90978,5,5,0.82595
12,1.7398,4,2,1.4642
4,0.79108,2,4,0.27649
5,0.65202,3,2,0.074985
7,0.83597,5,3,0.090782
9,0.87139,5,2,0.19828
9,0.87467,2,3,0.86824
8,0.80023,4,5,1.1819
8,0.69524,3,2,2.4861
11,0.97465,2,4,2.3355
4,0.56068,2,3,0.17867
4,0.54218,2,4,1.2574
7,0.8312,4,3,0.24793
5,0.50477,4,3,0.075874
13,2.0255,4,2,0.71695
9,0.77645,5,2,0.36098
8,0.77218,4,5,0.56428
8,0.72364,4,2,0.40761
12,1.0272,4,5,0.3639
13,1.0745,5,3,0.6806
4,0.6542,2,2,0.22364
9,0.79899,5,5,1.0886
10,1.0822,2,5,0.34632
12,1.1194,5,3,0.98219
4,0.72669,5,4,0.055103
12,1.166,3,2,1.0219
5,0.56965,2,5,0.12113
13,2.1124,4,5,0.86995
13,1.8077,4,2,0.4921
12,0.86317,4,2,0.52636
6,0.66783,3,4,0.0
10,0.99394,4,5,0.7594
13,1.4634,2,4,0.52836
4,0.6119,2,4,0.13318
11,1.1127,5,4,0.42367
6,0.79214,4,4,0.0
6,0.71688,5,4,0.11739
13,0.95813,5,4,0.31138
13,1.4524,2,5,0.65933
10,0.94588,3,5,0.46293
11,1.0452,3,5,1.0957
6,0.60957,5,5,0.0
7,0.73869,5,4,0.20701
11,1.3517,4,2,0.87446
7,0.56974,3,2,0.39602
5,0.47697,2,2,0.33744
9,0.84965,2,3,0.10544
5,0.44312,5,2,0.050701
4,0.6599,5,2,0.55793
11,0.94513,4,2,1.2168
11,0.90669,5,3,0.38589
6,0.55699,3,3,0.043838
5,0.46466,3,2,0.89184
13,1.5269,2,3,0.26485
12,1.0705,4,2,0.71234
6,0.62681,4,3,0.68709
6,0.65604,3,4,0.12424
7,0.69956,4,5,0.26006
8,0.63672,3,2,0.21397
9,1.1905,3,2,0.45195
5,0.61255,3,3,0.20234
6,0.80009,4,3,0.1969
5,0.44416,3,2,0.0
12,1.0667,2,2,0.8215
6,0.65618,5,5,0.07128
13,1.2478,3,5,0.16602
9,0.9652,2,3,0.65899
11,1.0316,3,2,0.6279
13,1.8833,2,3,0.7757
11,1.0433,2,5,0.62332
6,0.5408,2,3,0.22046
6,0.78994,3,5,0.67799
8,0.63529,4,4,1.1292
12,1.5018,2,2,0.41577
5,0.54116,2,2,0.17965
9,0.88478,2,5,0.5367
5,0.71763,3,4,0.024083
12,1.0049,4,5,0.93353
6,0.66591,3,2,1.4846
7,0.51204,3,2,0.17801
11,1.8738,2,3,1.5229
7,0.53708,4,4,0.2867
13,1.3508,4,3,0.55453
7,0.71614,4,3,0.50751
12,1.7067,3,5,1.6994
6,0.57059,3,4,0.46301
6,0.72413,4,5,0.41225
12,1.3374,5,2,1.1769
11,1.1055,2,3,0.87369
4,0.60223,3,3,0.07503
10,0.80996,2,3,0.66008
4,0.79552,5,3,0.2559
8,1.0237,5,5,0.65237
10,1.452,2,4,0.68086
10,1.1484,4,5,0.69197
6,0.73912,4,4,0.3283
13,1.5828,4,2,1.0194
5,0.66434,4,2,0.47235
5,0.7845,4,5,0.79176
12,1.1298,3,3,0.47016
12,1.4193,5,5,0.54975
8,1.0917,5,3,0.26549
6,0.54721,4,4,0.35846
4,0.49812,4,2,0.13528
5,0.84264,3,3,0.49491
11,1.0996,5,2,0.74566
13,1.1218,5,2,1.9059
7,0.86368,5,4,0.40048
6,0.61856,5,2,0.9038
12,1.1886,3,4,0.46668
7,0.97777,2,3,0.11162
8,0.56616,4,4,0.075034
6,0.6277,5,5,0.068239
12,1.324,4,5,1.194
7,0.78191,3,2,0.2064
5,0.58982,2,3,0.33034
11,1.0532,3,4,0.46137
7,0.77276,3,4,0.65935
6,0.77895,4,5,0.11327
9,0.84563,3,3,0.66692
9,0.65042,2,5,0.25071
6,0.67221,5,5,0.020509
6,0.54446,2,4,0.24094
5,0.5362,4,4,0.082982
11,1.2505,3,2,0.56564
6,0.5556,3,3,0.15552
5,0.48625,3,5,0.32845
11,1.0259,5,3,0.37916
6,0.73641,3,3,0.3619
11,1.4189,4,4,0.49789
7,0.70519,3,2,0.21492
6,0.64569,2,5,1.02
12,0.86366,4,3,1.0117
9,0.94981,5,3,0.018163
5,0.41521,4,4,0.2698
11,1.1381,2,5,0.60874
13,1.8341,3,5,1.0068
7,0.51545,4,5,0.95906
9,0.8277,4,2,0.10754
10,1.0833,2,4,0.57062
12,1.6495,4,5,1.2102
7,0.84222,2,2,0.41828
4,0.49973,4,2,0.83737
11,0.78537,3,4,0.97526
11,1.2129,3,3,0.54084
9,0.87539,5,3,0.21256
5,0.69525,5,2,0.21601
10,1.1459,2,3,2.1787
11,1.3885,4,2,0.95285
8,0.89074,2,3,1.5226
13,1.4612,2,3,1.716
13,1.579,3,5,1.665
9,1.0398,4,5,0.76971
10,1.2756,2,4,0.24754
7,0.91181,4,3,1.8575
8,0.92884,4,3,0.21126
12,1.181,3,2,1.7862
10,1.2634,3,4,0.89885
4,0.78839,5,2,0.2514
6,0.50077,3,4,0.3037
7,0.62462,3,2,0.36473
13,1.849,3,3,0.76837
13,1.2676,3,3,1.2176
5,0.80706,2,2,0.28328
7,0.90978,5,5,0.2082
12,1.7398,4,2,0.3731
4,0.79108,2,4,0.19913
12,1.2348,5,4,1.2024
5,0.65202,3,2,0.074712
7,0.83597,5,3,0.083273
9,0.87139,5,2,0.022359
9,0.87467,2,3,0.31287
8,0.80023,4,5,0.14974
8,0.7611,5,4,0.41167
8,0.69524,3,2,0.71095
11,0.97465,2,4,0.75082
4,0.56068,2,3,0.13937
4,0.54218,2,4,0.1781
7,0.8312,4,3,0.46198
5,0.50477,4,3,0.08667
10,0.86051,2,4,0.46432
12,1.8462,2,5,1.0919
11,0.86036,3,3,0.33868
11,0.7928,3,4,0.59254
4,0.70759,5,5,0.07154
4,0.61503,3,5,0.080856
4,0.76737,4,5,0.27505
12,1.0161,2,3,0.44898
5,0.41956,5,5,0.94681
6,0.44078,5,2,0.21081
7,0.78384,5,3,0.1223
12,1.5227,2,4,0.7661
12,1.0844,4,3,0.60718
10,0.97974,4,5,0.87212
12,1.0151,2,4,1.3528
10,0.88467,3,5,0.12315
8,0.69175,5,3,0.21983
8,0.90013,3,4,0.35631
6,0.4888,2,4,0.079659
5,0.53265,3,2,0.13108
11,1.408,5,4,0.71622
6,0.90581,4,3,0.39365
5,0.552,5,2,0.10651
8,0.76325,2,5,0.39265
12,1.4259,5,2,1.0441
8,0.84753,5,5,0.33939
8,0.57251,3,4,0.30723
7,0.72496,5,3,0.28202
5,0.73854,5,5,0.17461
10,1.2577,2,4,0.58214
7,0.50458,3,3,0.64283
7,0.7947,3,3,1.1768
9,0.80988,5,3,0.19209
13,1.4999,2,3,1.2074
10,0.77839,2,4,0.54633
10,0.97914,2,3,1.8897
12,1.0195,2,2,1.4074
8,0.76257,5,2,0.36745
6,0.69363,4,5,0.421
9,0.82511,4,3,0.17326
7,0.74529,2,4,0.59334
5,0.59711,2,2,0.3017
5,0.59067,5,5,0.52938
11,1.4884,4,4,0.28725
9,0.82461,3,2,1.8365
12,1.1041,3,3,1.6463
6,0.52108,5,4,0.27583
8,0.79152,3,3,0.58787
6,0.63726,2,3,0.15455
12,1.2002,5,4,0.9069
5,0.62234,4,2,0.15468
13,1.5579,2,4,1.3308
5,0.70346,2,3,0.059622
5,0.44013,5,3,0.0
4,0.70309,3,4,0.31178
10,0.97911,2,3,0.17109
10,0.86669,4,3,0.78486
4,0.51765,5,5,0.32842
11,1.0185,2,5,0.68202
11,1.6173,4,5,0.87548
9,1.0852,3,5,0.38274
12,1.4965,5,2,0.78676
9,0.85584,4,2,0.39638
5,0.66454,4,4,0.54756
8,0.72028,2,4,0.098954
13,1.9114,2,3,0.53418
5,0.76278,4,3,0.058779
5,0.55589,3,4,0.0
10,1.0683,4,4,1.2634
4,0.55785,5,3,0.1725
9,0.82513,4,3,0.10603
4,0.48132,5,3,0.42875
6,0.50445,2,3,0.23144
7,0.64912,2,5,0.66307
11,0.96376,2,3,0.60114
10,0.94241,4,5,0.23505
7,0.50002,4,2,0.62895
12,1.8056,2,3,0.22423
6,0.67708,4,3,0.0
7,0.66,5,4,0.74179
8,0.71606,4,4,1.7027
4,0.58414,5,3,0.066
8,0.69058,3,5,0.0072983
4,0.59006,3,2,0.0
11,1.0528,3,5,0.44484
9,1.1331,3,5,1.0199
10,0.96154,5,4,0.27137
8,0.92314,4,4,0.1674
4,0.69272,3,3,0.12049
5,0.57089,4,5,0.088124
13,1.3919,4,3,1.0669
11,1.0475,3,2,0.38499
8,0.59055,2,5,0.228
4,0.62393,3,4,0.23542
6,0.67345,2,2,0.061078
12,0.88807,2,4,0.69122
11,1.2333,4,5,0.73109
4,0.74686,5,2,0.74781
7,0.60077,4,5,0.66566
6,0.73565,4,2,0.038133
11,1.3347,3,5,0.42759
13,1.5597,5,5,1.2034
5,0.81044,4,4,0.3345
9,0.76385,5,3,0.64806
8,1.096,5,4,0.13073
9,0.79189,4,2,0.26743
4,0.55643,3,5,0.062512
5,0.72606,5,2,0.34937
13,1.1154,4,4,1.5736
11,0.80907,4,4,0.65867
8,0.85414,4,5,0.82617
13,1.2982,3,2,0.1462
9,0.86794,3,5,0.14396
7,0.55209,4,4,0.27161
7,0.53781,2,3,0.63524
6,0.46881,4,2,0.30838
6,0.6652,4,3,0.42564
4,0.59031,5,5,0.078705
5,0.82203,5,4,0.57846
11,0.97955,5,5,0.20439
8,0.71194,5,3,1.7735
12,1.2669,3,5,0.74019
6,0.61251,3,2,0.49225
10,1.0938,3,2,0.18338
10,0.87488,2,3,0.88761
7,0.58243,2,3,0.40983
4,0.78628,3,3,0.44456
4,0.72784,4,3,0.7483
5,0.67607,2,2,0.40742
8,1.2839,2,5,0.26195
7,0.72559,2,2,0.54582
7,0.53709,5,4,2.1051
11,1.4865,2,3,1.2543
7,0.73823,3,5,0.4123
11,0.85766,3,5,0.43866
11,0.80602,4,4,0.39867
4,0.79745,3,5,0.0
12,1.0924,4,5,1.1663
7,0.63833,4,3,0.82459
10,1.0461,3,4,0.20837
9,0.80158,3,3,1.3469
13,1.4063,3,3,0.92714
5,0.81635,4,3,0.27263
11,0.87354,3,5,0.73456
12,0.93502,5,4,1.9679
6,0.57069,4,2,0.93471
13,1.3663,5,3,0.77699
10,1.3335,5,4,0.84654
9,0.90229,3,5,0.41971
4,0.65186,3,4,0.078344
4,0.77787,2,5,0.48182
6,0.59593,2,4,0.21082
6,0.49589,3,3,0.3781
7,0.80477,4,4,0.37527
9,0.88467,4,2,0.042259
10,0.79099,2,5,0.50258
13,1.3921,4,3,0.78873
6,0.50918,2,4,0.20075
9,1.1339,2,5,0.99372
9,1.0582,5,2,0.32833
10,0.89407,3,4,0.80651
7,0.66496,4,4,0.72825
10,0.75927,3,3,0.31399
13,1.3949,5,4,1.6863
7,0.97357,2,4,0.29335
5,0.67949,2,2,0.090991
10,1.0843,3,5,1.0065
12,1.3976,3,5,1.2746
5,0.78441,4,4,0.14693
13,1.5374,2,5,1.5589
10,1.0158,5,5,0.15662
11,1.0173,3,5,0.68865
6,0.6397,2,5,0.29038
8,0.90933,2,4,0.089766
6,0.51564,5,2,0.062338
10,0.79002,4,2,1.0309
12,1.0277,5,4,0.8546
9,0.75087,5,3,0.14064
13,0.97184,5,4,1.5891
9,0.86836,5,5,0.05273
10,0.97293,2,3,0.49325
12,1.0696,3,3,1.2281
11,1.0808,4,2,0.56465
13,1.6407,4,5,0.48598
7,0.85621,3,5,0.24576
13,1.1503,5,5,2.1161
5,0.79635,3,3,1.7885
12,1.1496,3,3,1.0315
8,0.65757,4,4,0.054753
9,0.91541,5,3,0.002682
5,0.74441,5,2,0.1134
4,0.77773,3,3,1.296
5,0.801,5,3,0.19211
8,0.95665,2,2,0.29275
12,1.5218,2,5,0.56109
10,1.0542,4,4,1.3795
6,0.75324,5,5,0.81634
9,0.67747,5,2,1.3689
9,0.80511,3,5,0.39195
8,0.72375,3,5,1.4436
9,1.0509,3,5,0.73793
7,0.76345,3,4,0.66358
4,0.69095,4,2,0.049072
4,0.76458,3,4,0.44504
7,0.58123,5,5,0.66299
6,0.81073,4,4,1.1472
6,0.61401,4,4,0.12789
11,1.0185,3,2,1.5213
5,0.49565,3,5,0.081937
10,1.1207,3,5,0.13619
8,0.66228,4,4,0.43037
8,0.85133,4,5,0.052759
7,0.74525,2,3,0.60082
4,0.73714,3,3,0.061236
7,0.58658,3,4,2.2523
9,1.1746,2,5,1.1372
6,0.92937,2,3,0.81246
7,0.72548,4,4,1.192
11,1.1968,5,5,0.68428
9,0.69902,5,2,1.4773
13,1.2011,3,5,0.72261
8,0.56756,3,2,0.36411
8,1.018,4,5,1.0103
5,0.64163,3,3,0.19797
11,1.7209,2,3,0.41974
8,0.60012,4,2,0.1103
11,0.97229,5,4,1.4965
13,1.0909,5,3,1.5644
4,0.6209,4,4,0.38327
8,0.7766,3,2,0.39992
5,0.76691,5,4,0.11815
4,0.54309,3,5,0.264
5,0.77717,4,5,0.0
8,0.63692,5,4,0.082412
13,1.0035,2,3,0.34197
13,1.3841,4,3,1.7595
5,0.72617,5,3,0.0
8,0.56382,2,2,0.21239
7,0.53506,2,3,0.0
6,0.57611,4,2,0.098973
5,0.86274,2,2,0.78169
4,0.6845,2,3,0.0
9,0.90759,5,5,0.17396
12,1.5374,2,5,0.33558
9,1.2524,3,4,0.22185
4,0.74586,5,3,0.41024
13,1.7909,2,5,0.21514
4,0.63343,5,5,0.035074
13,1.4513,5,2,0.88206
11,0.86336,4,5,0.44349
8,0.82019,4,2,0.39081
6,0.70145,3,3,0.41331
7,0.83635,4,2,0.32424
10,0.88701,4,5,0.43078
4,0.46393,4,5,0.064493
12,1.3354,5,4,0.81045
7,0.50342,3,2,0.0
13,1.5934,5,5,0.24857
6,0.75507,5,5,0.096701
10,1.3338,2,4,0.44971
9,0.98812,5,5,0.1363
7,0.50359,2,2,0.1444
13,1.3374,3,5,0.7534
10,1.014,3,2,1.2441
10,0.87538,5,3,0.22605
10,0.91239,5,5,0.35875
11,1.2199,4,2,0.89639
4,0.50853,3,4,0.18063
13,0.99192,3,4,1.0651
8,1.0805,4,2,0.20203
8,0.80325,4,2,0.077353
10,0.85546,4,2,0.67944
12,1.2687,5,2,0.86333
9,0.6374,3,3,0.34221
12,1.2246,2,2,1.5695
4,0.68611,5,4,0.040741
10,0.99987,5,2,1.0596
12,1.4197,3,4,1.0377
10,0.8063,4,5,0.24163
5,0.7821,3,5,0.30231
6,0.56242,4,3,0.39154
11,0.98082,4,2,0.063165
12,0.98501,3,2,0.53764
5,0.697,5,3,0.86994
5,0.69394,5,4,1.0966
5,0.63383,5,3,0.081835
12,1.2192,5,3,1.9906
10,0.90559,5,3,1.326
5,0.67909,5,3,0.78813
13,1.4082,3,5,0.83285
12,0.94473,2,5,0.64003
5,0.77559,4,5,0.27994
11,1.3535,2,2,0.11912
13,1.2645,4,5,1.3822
4,0.56811,4,3,0.34546
4,0.698,4,5,0.34768
5,0.79302,5,5,0.32071
5,0.82806,2,2,0.4023
9,0.95762,4,2,1.4579
6,0.72956,2,5,0.36833
6,0.48592,4,2,0.58192
13,1.1615,3,4,1.904
12,1.1619,4,2,1.0237
6,0.70785,3,4,0.211
6,0.76992,5,2,0.52328
11,1.0813,4,3,0.44321
6,0.76186,5,5,0.0513
10,0.99519,3,3,0.13601
5,0.63972,2,5,0.19582
5,0.8352,3,4,0.19386
5,0.87962,2,4,0.20537
4,0.61012,3,4,0.15331
5,0.53484,4,5,0.20607
10,1.4096,2,4,0.78566
7,0.57561,2,3,0.054598
6,0.89849,5,4,0.3122
6,0.88152,3,2,0.42539
11,1.5189,4,5,0.35127
8,0.76292,2,2,0.31682
6,0.63589,4,3,0.3576
6,0.60125,2,3,0.48787
5,0.68233,3,2,0.092394
6,0.5523,5,3,0.25459
4,0.48347,2,5,0.47604
10,1.0793,5,5,0.23356
11,1.1732,4,5,0.7582
13,1.806,3,2,0.67374
5,0.71099,5,3,0.2652
6,0.51211,5,2,0.2926
10,1.0919,2,3,0.55669
5,0.68634,3,5,0.0
12,1.0356,3,5,0.20826
13,1.3123,5,4,0.64437
10,0.76478,4,3,0.035256
9,0.74999,5,4,0.91204
9,0.94957,4,4,0.39914
11,1.4879,2,2,0.15156
6,0.57179,4,2,0.15624
9,0.71005,3,5,2.1569
5,0.795,5,5,0.13131
8,0.73382,2,3,0.53492
13,1.4064,3,3,0.76668
9,0.74809,5,3,0.49446
12,1.4718,2,5,0.4911
10,0.89929,4,3,0.080747
10,0.88928,4,2,0.76736
4,0.6281,5,5,0.096365
5,0.70898,5,4,0.010053
6,0.58581,3,4,0.22701
12,1.6179,4,3,0.81562
4,0.68769,4,2,0.043802
13,1.918,5,2,0.54745
4,0.52692,3,4,0.45568
4,0.69065,2,4,2.4566
9,0.76916,5,2,0.31671
4,0.60006,2,3,0.50678
7,0.60093,2,4,0.068151
9,0.67298,5,2,0.16746
7,0.55507,2,5,0.094136
10,0.88481,2,2,0.84327
8,0.70582,5,5,0.13635
5,0.73236,4,2,0.17492
12,1.9782,2,2,0.15197
13,1.3552,2,3,1.8272
6,0.60769,2,2,0.55338
8,0.86124,4,4,0.35534
7,0.59764,4,5,0.98054
9,0.80513,2,4,1.6123
6,0.60815,4,3,0.040597
13,1.4996,2,5,0.60555
6,0.63235,2,5,0.33708
4,0.7897,2,2,0.14597
7,0.5939,5,2,0.20483
4,0.567,4,4,1.2314
5,0.71305,5,5,0.059529
12,1.2928,2,2,1.314
13,1.6408,3,3,0.74353
6,0.86223,2,5,0.11626
13,1.0293,5,4,1.0937
6,0.76753,3,4,0.6227
11,1.1222,5,4,0.99114
6,0.68772,4,2,0.50652
6,0.64301,3,2,0.25507
4,0.63681,5,3,0.10272
5,0.69687,4,4,0.13513
6,0.76515,2,2,0.20086
7,0.74984,5,5,0.074052
9,1.0517,3,4,0.75646
9,0.71936,2,2,0.02893
13,1.4649,2,5,0.61764
5,0.70797,4,2,0.43821
7,0.55592,4,3,0.52878
5,0.77362,2,4,0.10411
11,1.3015,4,3,0.83285
5,0.53965,2,2,0.48885
5,0.86643,4,3,0.17288
7,0.58636,4,2,0.13538
11,1.2362,5,4,1.89
12,1.0355,4,5,0.77276
6,0.67515,5,5,0.25523
5,0.81251,3,3,0.042115
8,0.83104,4,4,0.40154
10,0.72839,5,5,0.99479
8,0.84555,2,2,0.26045
9,1.1094,3,2,0.20826
13,1.5937,5,2,0.98275
11,1.1815,5,5,0.63714
4,0.55979,3,4,0.63199
6,0.4747,4,3,0.23693
12,1.1237,5,2,1.4744
8,0.9047,4,3,0.06796
5,0.5848,3,4,0.76164
9,0.76768,5,2,0.2717
7,0.54937,5,4,0.27507
8,0.90107,5,4,0.18417
6,0.71672,2,5,0.29495
6,1.004,5,2,0.19298
5,0.52946,5,5,0.73341
5,0.52115,5,3,0.35052
6,0.60555,4,5,0.1666
8,0.83254,2,5,0.87197
13,1.0964,5,2,0.60568
9,0.89088,4,2,0.21177
11,1.0616,3,2,0.55524
9,0.89465,2,2,0.38411
10,0.91023,3,3,0.25491
11,1.3731,5,5,1.0415
8,0.77912,3,4,0.36178
4,0.71897,3,2,2.2149
4,0.48306,4,5,0.056564
8,0.82495,5,3,0.29815
11,0.96754,5,2,0.54668
8,0.8435,3,3,0.020977
12,1.6001,2,4,1.46
9,0.84704,2,2,0.12444
4,0.74357,4,3,1.2015
11,0.77377,2,5,0.04166
12,1.0217,4,5,0.1314
4,0.54743,3,3,0.36395
11,1.2606,2,2,0.37531
12,0.99429,3,2,0.94302
5,0.85779,5,5,0.12462
9,0.85552,2,5,0.34002
11,1.5006,2,5,0.7569
8,0.77361,3,3,0.31497
9,0.85514,3,5,1.151
12,0.94061,5,2,1.3411
8,0.76627,5,5,0.5405
7,0.74508,3,2,0.21262
5,0.77852,3,5,0.44907
12,1.5053,4,5,0.4162
12,1.4554,4,5,0.1917
10,0.87415,3,3,0.73706
12,1.0113,5,3,0.7324
10,0.91085,5,3,0.45377
