no_story,no_story_2,T1,no_span,no_bay,no_span_2,no_bay_2,DI_cladire
5,2,0.78548,2,2,1,5,0.62481
5,3,0.49925,2,5,1,3,0.53291
6,4,0.65019,2,5,1,3,0.42936
9,7,1.1808,4,2,1,3,0.47612
11,6,1.1484,4,5,1,3,0.50043
11,5,0.91914,3,2,1,3,1.776
10,8,0.97355,5,3,2,2,1.7639
7,2,0.52094,5,5,2,4,0.41811
10,3,1.2424,4,2,1,3,0.95947
11,7,1.0802,5,4,3,5,1.1694
10,6,1.1228,5,5,3,5,0.36698
9,5,0.8371,5,5,4,3,0.44687
10,3,0.82485,4,4,1,2,0.63541
6,4,0.57536,5,4,4,2,0.33243
5,2,0.51273,2,3,1,4,0.01597
8,4,0.73288,2,5,1,4,0.20294
8,6,0.69808,3,5,1,3,0.66351
8,5,0.87267,5,3,3,1,0.16548
13,7,1.0331,4,3,3,2,0.92481
5,2,0.62585,2,4,1,5,0.24545
10,6,0.84404,5,5,2,5,0.59858
6,2,0.61299,5,4,3,2,0.1104
13,11,1.4806,4,5,1,5,1.1452
9,7,0.93923,2,2,1,2,0.21885
10,2,0.85438,4,4,3,2,0.82242
11,5,1.3171,3,4,1,2,0.2254
12,10,1.269,3,2,2,4,0.94436
4,2,0.62553,5,3,1,5,0.1316
6,2,0.66354,2,5,1,2,0.45231
6,4,0.62689,3,5,1,5,0.5385
10,3,0.74877,2,3,1,3,0.055829
6,3,0.52135,3,2,2,1,0.51693
8,5,0.58819,3,3,2,4,0.033983
5,3,0.78795,2,3,1,3,0.11564
13,8,1.1255,4,3,1,4,1.6908
7,2,0.64498,3,4,1,2,0.0
9,4,0.79276,2,3,1,1,0.86941
10,6,0.80867,5,3,4,1,0.67288
12,3,1.2185,4,2,1,3,0.95552
8,4,0.83472,2,4,1,3,0.62004
9,4,0.99431,2,4,1,3,0.57153
11,7,1.0405,4,4,3,5,0.58896
9,3,1.0863,2,3,1,4,0.4899
8,2,0.65762,5,5,1,3,0.28472
7,3,0.77261,4,5,1,3,0.21866
13,10,1.2053,3,3,2,2,1.8385
10,6,1.1572,4,4,1,3,0.37466
11,2,0.78475,3,4,1,3,0.37861
6,2,0.63474,5,3,1,3,0.16858
10,7,0.74784,4,3,1,2,0.78851
6,2,0.60508,3,2,1,3,0.13307
8,2,0.68568,3,2,2,4,0.1934
5,2,0.72467,5,4,2,3,0.15874
9,3,0.86143,3,2,2,5,0.25611
11,7,1.0899,4,4,3,3,0.24226
7,2,0.69452,4,5,1,2,0.25953
12,4,1.4332,2,3,1,5,0.33147
7,2,0.68171,5,3,1,2,0.060485
11,6,0.85668,4,3,1,5,0.99356
6,4,0.70392,5,3,3,3,2.3148
7,2,0.64272,2,3,1,2,0.31922
10,6,1.0474,3,2,1,1,0.26476
13,2,1.4339,5,2,2,3,0.6384
6,3,0.55255,4,3,2,1,0.60169
7,2,0.8316,5,2,1,3,0.28546
9,3,0.71209,4,4,1,4,0.16986
11,2,1.2751,2,3,1,2,1.2597
7,3,0.66166,3,4,1,5,1.1853
6,4,0.87247,5,5,2,2,0.33826
12,2,1.1241,3,2,2,2,0.31196
7,3,0.78759,4,4,1,1,0.73439
7,5,0.50491,5,3,1,4,0.77031
7,5,0.58036,3,3,2,3,0.5153
5,2,0.53514,3,3,1,4,0.18519
7,4,0.67637,2,4,1,4,0.39391
8,2,0.64251,2,4,1,2,0.31354
7,4,0.96817,4,3,2,2,1.28
8,6,0.80179,5,5,4,5,1.0244
9,3,0.6694,2,2,1,5,0.019673
7,3,0.6127,4,4,3,5,0.2129
13,8,1.0895,4,4,2,4,0.31038
6,2,0.49461,2,5,1,1,0.12076
13,10,1.0189,3,4,1,5,0.66328
11,9,0.78213,4,5,3,2,0.49946
7,5,0.89628,5,3,3,3,0.16984
6,4,0.68919,3,5,2,5,1.0088
7,4,0.54351,5,5,1,5,0.33258
9,7,0.99436,4,4,3,1,0.91658
7,2,0.67372,5,5,2,1,0.53637
6,2,0.76159,2,3,1,5,0.16477
8,4,0.96229,2,4,1,2,0.03402
5,3,0.56148,3,2,2,2,0.02252
11,6,1.199,3,4,2,4,0.36316
5,2,0.54023,3,4,1,1,0.054715
12,8,0.87656,2,2,1,3,0.26683
12,6,0.93886,5,2,4,2,0.39216
6,3,0.64119,2,3,1,2,0.40772
5,3,0.84917,4,3,3,5,0.38175
8,2,0.94618,5,5,4,2,0.44778
9,7,0.95719,5,2,1,5,0.26004
8,2,0.73543,3,3,1,3,0.67699
10,8,0.87569,2,3,1,2,0.0
8,6,1.0285,3,4,1,1,0.64825
10,8,1.3447,4,5,3,5,1.2547
5,2,0.72575,2,3,1,1,2.4377
10,4,0.96799,5,3,4,1,0.24839
12,10,1.1717,4,4,2,5,1.3973
7,2,0.85489,5,2,2,5,0.17797
13,8,2.0303,2,3,1,4,0.70016
7,3,0.62097,2,4,1,3,0.11496
9,6,0.98775,5,3,3,2,0.40321
5,2,0.41326,5,3,2,4,0.092466
10,3,0.97117,3,2,2,4,0.18631
11,6,0.88356,4,5,3,4,0.47169
11,3,0.99229,3,5,2,1,0.4894
5,3,0.67661,3,2,1,3,0.19502
6,2,0.53756,5,3,2,2,0.60422
13,10,1.3027,3,4,2,3,0.60137
5,3,0.91888,5,4,2,3,0.33819
4,2,0.51864,2,4,1,2,0.24256
8,6,0.59362,2,5,1,5,0.84488
7,4,0.74695,5,3,2,1,0.15957
9,7,0.74484,2,4,1,1,0.11642
7,4,0.66009,4,5,3,4,0.33507
9,5,0.95862,3,2,2,1,0.29993
9,5,0.82633,2,3,1,3,0.04353
11,2,0.97797,2,2,1,5,0.78501
9,3,0.92967,4,2,1,1,0.056488
10,3,1.008,3,3,1,3,0.13952
10,8,0.8728,4,2,3,2,0.47409
9,7,0.83697,5,2,3,3,0.32283
11,5,1.0103,2,5,1,5,0.72944
11,4,1.185,2,2,1,2,1.5738
4,2,0.42164,2,3,1,4,0.20384
5,3,0.44458,5,3,2,4,0.33939
6,4,0.82055,2,2,1,4,0.096129
12,6,0.88689,2,3,1,5,0.66187
5,2,0.68212,3,3,1,3,0.41464
6,2,0.71142,3,3,1,4,1.9266
6,4,0.87957,4,4,1,1,0.30907
7,5,0.74143,2,5,1,1,1.9198
6,3,0.65033,4,5,2,2,0.54601
12,6,1.3479,2,2,1,1,1.3534
7,2,0.77712,4,5,1,3,0.48589
6,2,0.72455,4,2,3,1,0.40338
8,6,0.84814,5,5,3,1,0.88666
12,7,0.93963,5,2,2,2,0.6733
13,7,0.96945,3,2,2,1,0.75962
9,2,0.79547,5,4,1,1,1.329
12,4,1.7204,2,5,1,2,0.49914
8,3,0.85669,3,4,1,5,0.70596
12,8,1.1137,2,4,1,3,0.56769
6,3,0.43149,5,4,4,1,0.26445
8,5,0.777,5,4,3,2,0.31468
6,4,0.74598,4,5,2,4,0.15871
10,7,1.0184,2,3,1,2,0.54749
8,3,0.8287,2,3,1,2,0.32099
13,11,1.2558,5,3,2,1,0.94554
11,8,1.0295,5,5,4,1,0.393
10,2,1.1191,4,5,3,2,0.74036
7,4,0.50423,2,4,1,4,0.15397
10,5,1.2,2,5,1,2,0.55476
12,4,0.9942,5,4,3,4,1.0195
13,2,1.183,4,3,2,4,0.75975
6,2,0.58147,5,2,4,3,0.29612
5,3,0.48304,5,2,3,2,0.079989
4,2,0.63849,4,3,1,5,0.14391
5,2,0.62173,2,2,1,3,0.035554
12,4,1.044,2,3,1,4,0.42188
13,3,1.2088,5,5,2,3,1.6919
13,3,0.91719,3,4,2,2,1.4547
8,3,0.73602,3,4,2,2,0.43965
12,8,0.96429,3,5,2,5,0.099379
9,5,0.8573,3,3,1,3,0.37133
5,2,0.56942,5,3,3,1,0.14656
9,2,0.76167,5,2,1,3,0.018904
7,5,0.75847,3,5,1,1,0.88891
7,5,0.7557,3,4,1,4,0.11587
12,2,1.0922,3,2,1,3,0.39304
11,3,1.2601,2,3,1,3,1.5809
6,3,0.65307,5,3,2,1,0.38885
5,3,0.65265,3,2,2,5,0.32022
13,11,1.2939,4,4,3,2,1.0948
11,4,0.92296,3,5,2,1,1.4339
12,9,1.3201,3,2,2,2,1.043
12,6,1.1949,4,5,3,1,0.22997
4,2,0.39193,3,4,2,1,0.0
4,2,0.60532,4,3,3,4,0.032727
5,3,0.74853,2,3,1,2,0.478
9,7,1.1171,5,3,1,2,0.26845
9,6,0.87278,3,5,1,4,0.44347
10,8,0.73608,4,5,2,1,0.35735
11,7,1.1964,4,2,2,5,0.13248
5,3,0.55654,4,3,3,4,0.32382
7,2,0.80227,3,2,2,1,0.11714
10,8,0.97874,5,4,1,2,0.89044
7,5,0.93991,3,2,1,3,0.40002
5,2,0.5905,2,2,1,2,0.89486
7,5,0.82263,2,2,1,2,0.6237
11,7,1.4941,3,2,2,3,0.92665
4,2,0.77209,5,5,3,3,0.11547
11,3,1.0667,2,4,1,1,0.52459
11,7,1.226,5,5,2,2,0.65962
7,4,0.71043,3,5,2,1,0.16419
13,10,1.0045,2,4,1,1,1.4597
11,3,0.98585,2,2,1,1,0.57625
13,4,1.172,3,5,1,4,0.77475
12,6,1.7347,2,5,1,4,0.58501
8,6,0.70328,5,2,1,3,1.1775
4,2,0.5366,5,2,3,1,0.67761
11,3,0.80496,5,4,1,2,0.42172
8,2,0.67544,2,4,1,4,0.79034
10,7,1.0272,3,2,1,2,0.92031
13,6,1.2773,2,2,1,1,0.098453
13,11,1.4402,4,4,2,4,0.80262
9,3,0.74069,3,2,2,5,0.4338
6,4,0.63829,2,2,1,1,0.69231
12,2,0.89667,5,4,2,4,1.5563
10,8,0.83657,5,4,4,4,1.8251
6,4,0.46518,2,4,1,3,1.6629
7,4,0.69882,4,5,1,4,0.62703
5,2,0.54858,5,4,2,4,0.23663
8,6,0.71797,4,4,3,4,0.093241
4,2,0.59413,4,3,2,3,0.24582
7,5,1.0154,3,2,2,5,0.53018
5,2,0.47903,2,2,1,4,0.1731
7,2,0.94507,4,2,3,1,0.8841
4,2,0.50844,4,4,3,5,1.0588
12,7,0.90722,3,5,2,2,1.5337
11,9,1.2941,2,4,1,4,1.2135
12,5,1.089,2,5,1,3,0.6454
5,3,0.51293,5,5,1,5,0.17416
4,2,0.78277,2,4,1,5,0.0
4,2,0.68467,3,2,1,3,0.37221
11,7,0.85503,5,5,3,5,0.31781
4,2,0.76412,4,2,2,5,0.087046
11,8,1.1714,2,3,1,5,0.28876
6,2,0.84377,5,3,2,3,0.1347
8,2,0.78905,2,3,1,5,0.28801
11,4,1.7815,3,2,1,3,0.23131
9,5,1.0648,3,3,1,4,0.55952
9,2,0.8844,4,3,3,2,0.85842
5,3,0.71502,3,3,2,1,0.68688
11,6,1.0297,4,2,3,1,1.1922
11,2,1.036,2,2,1,1,0.35762
9,4,1.1087,2,5,1,4,0.61331
5,2,0.52768,5,3,4,3,0.51033
12,6,1.143,4,5,2,2,0.65696
11,4,1.0777,2,3,1,4,0.14225
8,6,0.75292,5,4,3,2,0.78895
6,4,0.72986,5,4,3,1,0.25519
13,11,1.2753,4,2,3,1,0.71569
5,3,0.68303,3,2,1,1,0.49473
12,6,1.0582,5,4,1,1,0.68723
6,2,0.61182,4,3,1,1,0.10342
5,2,0.65182,4,4,2,3,0.0094705
10,5,1.1379,5,5,3,1,0.10967
13,6,1.2535,3,5,2,4,0.7085
11,5,0.93689,4,2,2,1,0.37588
7,4,0.76886,3,2,1,3,0.18077
12,9,1.5809,5,4,2,1,0.67262
10,3,1.0028,3,2,2,3,0.51854
11,7,1.1586,5,2,1,2,2.3723
4,2,0.65221,5,4,3,5,0.015757
5,3,0.54063,5,4,1,2,0.10743
8,5,0.96102,4,2,2,2,0.71849
11,2,1.1058,3,4,2,1,0.51931
6,3,0.6429,2,3,1,3,0.28995
11,5,1.0738,2,2,1,2,0.12265
11,3,1.0055,5,2,3,1,0.10608
5,2,0.66707,3,5,2,1,0.17709
5,2,0.82607,3,5,2,1,0.17074
9,4,0.81022,3,5,2,4,0.42224
9,5,1.0043,2,3,1,1,0.59526
12,2,1.2124,3,2,1,2,0.27822
7,5,0.62903,4,4,3,3,0.22216
10,5,0.99943,3,2,2,1,0.26447
4,2,0.6288,5,2,4,5,0.44599
10,6,0.79327,5,2,2,1,0.45146
12,3,1.1274,4,4,3,4,2.1487
9,2,0.84753,3,3,1,4,0.38705
11,6,0.96071,5,5,1,5,0.44969
13,5,1.2091,5,3,1,2,0.87383
13,8,1.1694,5,5,2,1,0.38711
9,2,0.83652,3,2,2,2,0.39708
11,5,1.4334,4,3,1,1,0.14938
8,6,0.74173,2,5,1,1,0.98528
10,4,0.95553,2,2,1,1,0.081182
10,5,0.8712,4,2,2,5,0.46959
4,2,0.68356,4,3,2,3,0.31596
4,2,0.7786,3,4,1,2,0.11956
6,4,0.6718,3,4,1,1,1.1576
6,4,0.57399,2,3,1,3,1.6836
5,2,0.76774,3,2,2,5,0.25401
8,4,0.90261,4,2,3,2,0.28213
5,2,0.79814,2,5,1,1,0.92331
9,3,0.66332,4,5,2,4,1.1424
11,8,1.2159,4,3,1,5,0.8838
11,7,0.90617,2,3,1,3,0.37288
10,6,0.87027,2,3,1,3,0.50494
6,4,0.56494,4,2,3,1,1.0969
7,5,0.62689,5,5,3,2,0.38748
4,2,0.74961,4,5,2,2,0.29415
5,3,0.72109,3,4,2,1,0.0049633
8,5,0.7547,5,5,2,3,0.16096
8,3,0.67466,4,5,3,5,0.5319
6,4,0.54555,5,4,3,2,0.16273
7,2,0.5003,5,4,4,4,0.43373
13,10,1.6303,3,5,1,1,0.56275
9,4,1.3193,4,3,3,3,0.7075
10,3,0.90689,4,5,3,2,0.35167
6,2,0.70221,4,2,2,4,0.1086
8,2,0.62489,4,2,3,1,0.32664
9,2,0.66257,2,3,1,5,0.73231
13,9,1.0329,4,3,2,2,1.5381
6,2,0.59748,4,4,1,2,0.45114
8,3,0.69986,4,2,1,1,0.59152
10,8,1.037,3,2,2,3,0.02402
11,3,1.4818,2,4,1,3,0.87526
12,10,1.1598,4,4,2,2,0.44394
7,5,0.66671,3,3,2,1,0.0
12,2,1.2008,4,5,2,3,1.3696
5,2,0.6022,5,2,3,1,0.14547
13,7,1.751,4,4,1,4,0.94067
8,3,0.5921,2,2,1,4,0.17311
4,2,0.49215,4,2,3,1,0.26489
12,7,1.2738,3,4,1,2,1.1561
7,2,0.69736,4,3,3,2,0.40034
11,4,1.2468,3,2,2,1,0.39417
12,4,0.99473,3,3,1,2,0.39662
4,2,0.42324,3,3,1,3,0.075346
8,6,0.80659,2,3,1,4,0.6218
8,3,0.89175,5,2,4,1,0.39263
10,5,0.90468,4,5,2,5,0.37453
9,6,1.1681,5,2,1,1,0.81902
4,2,0.47505,3,5,1,2,0.0
8,2,0.6926,4,5,2,1,1.2196
4,2,0.79878,3,3,1,5,0.36331
9,2,0.83395,5,3,2,2,0.34606
6,2,0.57255,5,5,2,5,0.098242
12,7,1.0145,2,3,1,1,1.6977
10,2,0.98805,3,5,2,4,2.2891
12,10,1.3483,5,3,3,1,0.76444
10,8,1.3179,2,4,1,3,0.38618
12,6,0.97016,4,2,3,3,0.68801
12,2,1.2892,2,4,1,4,0.84319
10,7,1.4673,5,2,1,1,0.22305
6,4,0.66889,5,2,2,3,0.38783
9,4,1.0375,5,5,3,3,0.37884
8,6,0.7969,3,4,2,5,0.95682
6,3,0.54031,3,2,2,3,0.098273
6,4,0.67087,4,2,3,3,0.49774
9,5,1.0497,4,3,2,5,0.0030457
6,2,0.58287,3,3,2,3,0.41837
7,2,0.55622,2,5,1,5,0.11653
5,3,0.58515,3,4,1,3,0.20578
4,2,0.73462,3,3,1,5,0.1498
13,5,1.9758,3,4,2,2,0.64431
8,3,0.7662,3,2,1,1,0.94305
12,6,0.97342,4,3,2,1,0.30407
4,2,0.58949,5,4,3,3,0.13863
12,2,0.95399,4,3,2,4,0.27394
4,2,0.69086,2,3,1,4,0.0
13,4,1.2879,5,3,1,5,0.82376
8,3,0.89135,2,3,1,5,0.0
12,10,1.3496,5,4,2,1,2.031
8,6,0.73734,4,3,3,3,0.304
4,2,0.72699,5,2,4,2,0.0
6,4,0.65174,5,5,4,3,0.13526
7,5,0.57054,3,5,2,3,0.0647
11,9,1.2905,3,2,1,5,0.49408
9,3,1.0107,3,5,1,4,0.87854
10,3,0.72196,3,4,1,3,2.1128
13,5,1.6174,2,4,1,1,0.72825
11,7,0.96167,3,3,2,3,2.0123
7,3,0.79105,3,5,2,4,0.39761
7,3,0.81545,5,5,1,2,0.3721
5,2,0.90263,3,5,2,2,0.18305
8,3,0.86302,5,4,1,4,0.45782
4,2,0.50003,2,5,1,1,0.39024
5,3,0.67051,2,3,1,1,1.9024
4,2,0.7457,3,2,2,3,1.7371
8,3,0.89921,3,4,1,3,0.84652
8,6,0.62774,5,4,3,2,0.68261
13,5,1.3178,4,5,2,1,0.98103
10,6,0.70378,5,4,4,3,0.81203
10,6,0.84439,2,4,1,3,0.55277
12,5,1.2662,2,2,1,3,0.69121
5,3,0.64954,3,4,1,1,0.91419
12,2,0.99577,4,3,1,2,0.91742
12,10,1.2648,4,5,2,4,0.76451
7,5,0.70527,2,2,1,3,1.0798
11,8,0.91662,5,4,3,3,0.33366
8,4,0.6226,3,5,1,2,0.19324
10,5,0.96792,5,2,3,4,0.82636
4,2,0.69459,4,5,2,5,0.061066
7,4,0.81949,2,5,1,5,0.43104
11,8,1.3452,5,2,4,3,1.708
9,7,0.81848,3,5,2,5,0.45614
6,4,0.75847,5,4,1,1,0.22702
11,3,0.88826,4,5,2,5,0.50511
12,10,1.1729,2,3,1,4,0.34036
4,2,0.70911,5,4,1,4,0.4342
7,5,0.63331,3,3,2,1,0.32219
6,2,1.0029,4,5,2,4,0.2068
4,2,0.32878,2,4,1,3,0.031967
12,7,1.1902,4,5,2,1,0.9295
12,5,0.93059,4,2,3,5,0.058418
8,5,0.76106,2,4,1,4,0.064133
12,10,1.7801,5,4,4,3,0.8556
8,2,0.66826,4,3,2,5,0.14202
6,3,0.51121,3,5,1,2,0.44835
6,4,0.46265,5,4,4,3,0.55729
7,3,0.88972,5,4,3,4,0.72
6,2,0.50437,4,3,3,3,0.27909
6,3,0.87729,4,4,2,2,0.78244
7,2,0.63996,4,4,2,3,0.054778
5,2,0.81672,3,3,1,2,0.21963
10,3,1.2384,5,4,3,5,0.70039
8,3,0.62384,4,4,2,1,0.61977
5,2,0.6431,3,2,2,1,0.13897
8,2,0.82328,4,4,2,3,0.23746
12,4,1.3286,4,5,2,4,0.49709
5,3,0.76753,2,4,1,3,0.51463
11,4,1.1564,5,2,4,3,0.16589
11,9,1.1463,3,5,2,2,0.59402
8,5,0.80857,5,4,2,1,1.6175
4,2,0.53412,2,4,1,2,0.14954
8,3,0.85529,3,5,2,5,0.070271
6,4,0.43687,2,4,1,1,0.10861
8,6,0.8604,5,4,3,2,0.39967
4,2,0.66516,5,4,1,2,0.098442
12,8,1.2732,4,4,1,3,0.1223
4,2,0.75943,3,2,2,3,0.0
5,3,0.48514,4,3,3,4,0.76526
4,2,0.55522,5,4,4,4,0.21665
10,6,1.1059,5,5,3,1,0.77112
10,8,0.87806,5,3,2,5,0.37392
4,2,0.69592,2,3,1,1,2.3434
5,2,0.78548,2,2,1,5,0.62481
5,3,0.49925,2,5,1,3,0.53291
6,4,0.65019,2,5,1,3,0.42936
9,7,1.1808,4,2,1,3,0.47612
11,6,1.1484,4,5,1,3,0.50043
11,5,0.91914,3,2,1,3,1.776
10,8,0.97355,5,3,2,2,1.7639
7,2,0.52094,5,5,2,4,0.41811
10,3,1.2424,4,2,1,3,0.95947
11,7,1.0802,5,4,3,5,1.1694
10,6,1.1228,5,5,3,5,0.36698
9,5,0.8371,5,5,4,3,0.44687
10,3,0.82485,4,4,1,2,0.63541
6,4,0.57536,5,4,4,2,0.33243
5,2,0.51273,2,3,1,4,0.01597
8,4,0.73288,2,5,1,4,0.20294
8,6,0.69808,3,5,1,3,0.66351
8,5,0.87267,5,3,3,1,0.16548
13,7,1.0331,4,3,3,2,0.92481
5,2,0.62585,2,4,1,5,0.24545
10,6,0.84404,5,5,2,5,0.59858
6,2,0.61299,5,4,3,2,0.1104
13,11,1.4806,4,5,1,5,1.1452
9,7,0.93923,2,2,1,2,0.21885
10,2,0.85438,4,4,3,2,0.82242
11,5,1.3171,3,4,1,2,0.2254
12,10,1.269,3,2,2,4,0.94436
4,2,0.62553,5,3,1,5,0.1316
6,2,0.66354,2,5,1,2,0.45231
6,4,0.62689,3,5,1,5,0.5385
10,3,0.74877,2,3,1,3,0.055829
6,3,0.52135,3,2,2,1,0.51693
8,6,0.79404,5,2,3,1,0.23379
11,3,1.1028,3,3,2,1,2.3318
4,2,0.59723,2,4,1,4,0.71196
7,4,0.51702,3,4,2,4,0.2828
13,6,1.1042,3,5,2,1,1.0529
9,6,0.90466,5,2,1,5,0.76937
10,3,0.78274,2,2,1,5,0.16262
10,6,0.82513,2,3,1,3,0.058165
10,6,1.3012,3,4,2,2,1.052
9,2,1.119,2,5,1,3,0.924
7,2,0.77715,5,3,4,4,0.51176
8,5,0.76281,5,4,4,1,0.72101
7,5,0.56326,3,2,1,3,0.65366
13,6,1.0386,2,2,1,4,0.41081
13,11,1.0357,5,2,4,5,1.2226
9,5,0.83408,2,5,1,2,0.38438
6,3,0.63674,5,5,3,4,0.1735
8,2,0.65693,4,3,1,5,0.63452
11,5,0.86311,4,5,1,5,0.22445
12,8,0.95842,2,2,1,5,0.7916
4,2,0.70659,3,2,2,3,0.18703
7,4,0.87438,3,4,1,5,1.2203
9,3,0.90803,2,4,1,5,1.8443
8,6,0.61736,4,5,3,3,0.33888
4,2,0.49375,5,3,2,2,0.31123
13,3,1.5091,3,4,2,2,0.4798
6,3,0.57922,2,2,1,3,0.19967
10,4,1.6848,2,5,1,1,0.72073
4,2,0.76545,4,4,1,1,0.28313
13,9,0.9378,2,5,1,3,0.46996
5,3,0.43362,2,2,1,5,0.34194
11,5,0.77173,2,2,1,4,0.23051
11,6,1.2468,4,5,2,3,0.45194
7,5,0.79435,5,4,1,1,0.22843
5,3,0.43753,3,2,2,2,0.1612
13,6,1.5113,2,2,1,1,0.45083
6,3,0.5978,3,3,1,1,0.40101
8,3,0.68721,3,2,1,2,0.4357
4,2,0.69944,4,3,1,2,1.2538
6,4,0.43429,3,2,1,1,0.84506
10,7,1.0326,2,4,1,3,0.73688
10,4,0.87178,3,4,1,2,0.91994
8,5,0.9217,4,2,2,5,0.44061
12,6,0.84632,5,3,2,1,0.67599
5,3,0.61668,4,2,2,3,1.5881
12,5,1.6322,3,3,1,5,1.6187
5,2,0.97541,2,2,1,3,0.23038
10,4,1.1218,2,3,1,4,0.2208
8,6,0.82646,2,4,1,2,0.53232
4,2,0.56792,5,5,4,4,0.10105
10,2,1.0655,5,4,2,2,0.079162
10,3,0.98587,4,5,3,1,0.29458
6,4,0.57519,3,3,2,3,0.71072
7,2,0.56276,2,4,1,5,0.77858
9,5,0.67911,4,2,1,1,0.13801
11,2,1.3157,3,4,2,3,0.43808
12,2,1.1219,2,5,1,5,0.72415
9,4,1.1222,4,5,1,4,0.42091
5,2,0.62381,2,3,1,3,0.20981
9,5,0.90234,5,3,3,1,0.29615
11,9,1.7445,2,3,1,1,0.73042
10,4,1.1536,2,3,1,4,0.8663
13,5,1.1932,2,4,1,2,0.64606
12,2,1.1785,2,3,1,2,0.70184
13,7,1.3449,3,4,1,2,1.2027
7,4,0.53735,2,4,1,3,0.55371
8,2,0.59675,5,3,3,3,0.45521
6,2,0.75318,4,4,1,3,0.10954
6,2,0.61182,4,3,1,1,0.10342
5,2,0.65182,4,4,2,3,0.0094705
10,5,1.1379,5,5,3,1,0.10967
13,6,1.2535,3,5,2,4,0.7085
11,5,0.93689,4,2,2,1,0.37588
7,4,0.76886,3,2,1,3,0.18077
12,9,1.5809,5,4,2,1,0.67262
10,3,1.0028,3,2,2,3,0.51854
11,7,1.1586,5,2,1,2,2.3723
4,2,0.65221,5,4,3,5,0.015757
5,3,0.54063,5,4,1,2,0.10743
8,5,0.96102,4,2,2,2,0.71849
11,2,1.1058,3,4,2,1,0.51931
6,3,0.6429,2,3,1,3,0.28995
11,5,1.0738,2,2,1,2,0.12265
11,3,1.0055,5,2,3,1,0.10608
5,2,0.66707,3,5,2,1,0.17709
5,2,0.82607,3,5,2,1,0.17074
9,4,0.81022,3,5,2,4,0.42224
9,5,1.0043,2,3,1,1,0.59526
12,2,1.2124,3,2,1,2,0.27822
7,5,0.62903,4,4,3,3,0.22216
10,5,0.99943,3,2,2,1,0.26447
4,2,0.6288,5,2,4,5,0.44599
10,6,0.79327,5,2,2,1,0.45146
12,3,1.1274,4,4,3,4,2.1487
9,2,0.84753,3,3,1,4,0.38705
11,6,0.96071,5,5,1,5,0.44969
13,5,1.2091,5,3,1,2,0.87383
13,8,1.1694,5,5,2,1,0.38711
9,2,0.83652,3,2,2,2,0.39708
11,5,1.4334,4,3,1,1,0.14938
8,6,0.74173,2,5,1,1,0.98528
10,4,0.95553,2,2,1,1,0.081182
10,5,0.8712,4,2,2,5,0.46959
4,2,0.68356,4,3,2,3,0.31596
4,2,0.7786,3,4,1,2,0.11956
6,4,0.6718,3,4,1,1,1.1576
6,4,0.57399,2,3,1,3,1.6836
5,2,0.76774,3,2,2,5,0.25401
8,4,0.90261,4,2,3,2,0.28213
5,2,0.79814,2,5,1,1,0.92331
9,3,0.66332,4,5,2,4,1.1424
11,8,1.2159,4,3,1,5,0.8838
11,7,0.90617,2,3,1,3,0.37288
10,6,0.87027,2,3,1,3,0.50494
6,4,0.56494,4,2,3,1,1.0969
7,5,0.62689,5,5,3,2,0.38748
4,2,0.74961,4,5,2,2,0.29415
5,3,0.72109,3,4,2,1,0.0049633
8,5,0.7547,5,5,2,3,0.16096
8,3,0.67466,4,5,3,5,0.5319
6,4,0.54555,5,4,3,2,0.16273
7,2,0.5003,5,4,4,4,0.43373
13,10,1.6303,3,5,1,1,0.56275
9,4,1.3193,4,3,3,3,0.7075
10,3,0.90689,4,5,3,2,0.35167
6,2,0.70221,4,2,2,4,0.1086
8,2,0.62489,4,2,3,1,0.32664
9,2,0.66257,2,3,1,5,0.73231
13,9,1.0329,4,3,2,2,1.5381
6,2,0.59748,4,4,1,2,0.45114
8,3,0.69986,4,2,1,1,0.59152
10,8,1.037,3,2,2,3,0.02402
11,3,1.4818,2,4,1,3,0.87526
12,10,1.1598,4,4,2,2,0.44394
7,5,0.66671,3,3,2,1,0.0
12,2,1.2008,4,5,2,3,1.3696
5,2,0.6022,5,2,3,1,0.14547
13,7,1.751,4,4,1,4,0.94067
8,3,0.5921,2,2,1,4,0.17311
4,2,0.49215,4,2,3,1,0.26489
12,7,1.2738,3,4,1,2,1.1561
7,2,0.69736,4,3,3,2,0.40034
11,4,1.2468,3,2,2,1,0.39417
12,4,0.99473,3,3,1,2,0.39662
4,2,0.42324,3,3,1,3,0.075346
8,6,0.80659,2,3,1,4,0.6218
8,3,0.89175,5,2,4,1,0.39263
13,10,1.3367,2,3,1,3,1.8036
6,4,0.83656,4,5,1,4,0.35013
13,4,1.3153,3,5,1,5,1.0556
6,3,0.62024,2,5,1,1,0.041708
11,7,1.4932,4,5,1,3,0.82825
8,3,0.91999,4,5,1,2,0.12228
13,5,1.4361,5,3,2,1,0.4413
9,3,0.81789,5,5,2,2,0.43001
5,3,0.67252,4,4,1,2,1.6019
8,2,1.1268,4,2,3,4,0.023527
8,6,0.56109,2,2,1,4,0.83164
13,2,1.0011,5,3,2,4,0.64199
13,2,0.99384,4,2,3,3,0.656
12,8,1.0328,3,3,1,4,0.59487
11,3,0.91121,4,4,2,2,0.81808
13,8,0.99425,5,4,2,4,0.34241
8,2,0.70664,3,4,2,3,0.3844
5,2,0.75283,2,4,1,3,0.36956
